confidence_interval,option_price,standard_error,m,S0,K,H,q,confidence_level,n_paths,r,sigma,T
1.2695349783190477,4.857123378427624,0.6477338299749269,50,100,100,85,0,0.95,100,0.1,0.2,0.2
1.3425680940259097,6.0547594860197815,0.6849963084097033,50,100,100,85,0,0.95,100,0.1,0.2,0.30000000000000004
1.6036762326036134,4.835371788757243,0.8182171944245951,50,100,100,85,0,0.95,100,0.1,0.2,0.4
2.36815980499562,9.06214592192902,1.2082670006568297,50,100,100,85,0,0.95,100,0.1,0.2,0.5
2.342861494600107,8.675104915069054,1.195359462255582,50,100,100,85,0,0.95,100,0.1,0.2,0.6000000000000001
2.1752620182438878,8.277368143235863,1.1098479540451136,50,100,100,85,0,0.95,100,0.1,0.2,0.7
2.4395118224466468,9.396259519396992,1.2446717601390662,50,100,100,85,0,0.95,100,0.1,0.2,0.8
2.9804778132185814,14.420650266374459,1.5206798883694854,50,100,100,85,0,0.95,100,0.1,0.2,0.9000000000000001
3.1185232276022345,12.928043522378584,1.5911125164547655,50,100,100,85,0,0.95,100,0.1,0.2,1
3.1410461037568718,11.527489585213695,1.602603990957509,50,100,100,85,0,0.95,100,0.1,0.2,1.1
3.8309843983171605,15.479318553809364,1.954619793289814,50,100,100,85,0,0.95,100,0.1,0.2,1.2
3.746835894502724,15.784258920559493,1.9116860942636127,50,100,100,85,0,0.95,100,0.1,0.2,1.3
4.1279443754157406,18.538972186150563,2.1061327697735464,50,100,100,85,0,0.95,100,0.1,0.2,1.4000000000000001
3.6607220961308053,15.08610565232858,1.8677496755073637,50,100,100,85,0,0.95,100,0.1,0.2,1.5
4.1457352243064065,19.763940092132383,2.1152099002876774,50,100,100,85,0,0.95,100,0.1,0.2,1.6
4.100822594785758,17.762142086222852,2.0922948723203714,50,100,100,85,0,0.95,100,0.1,0.2,1.7
4.400408312440081,19.403147712437075,2.245147536970036,50,100,100,85,0,0.95,100,0.1,0.2,1.8
4.951421670467758,17.516059000579034,2.5262819671809993,50,100,100,85,0,0.95,100,0.1,0.2,1.9000000000000001
4.817369546777654,18.245711918826647,2.45788676974498,50,100,100,85,0,0.95,100,0.1,0.2,2
5.497539229508656,21.352577441551638,2.8049184948665102,50,100,100,85,0,0.95,100,0.1,0.2,2.1
5.081280063350918,23.19603214731436,2.5925374667245964,50,100,100,85,0,0.95,100,0.1,0.2,2.2
5.352893278609751,21.318414217646072,2.731118184228226,50,100,100,85,0,0.95,100,0.1,0.2,2.3000000000000003
5.57026610614075,20.754888418906614,2.8420247260043032,50,100,100,85,0,0.95,100,0.1,0.2,2.4000000000000004
5.042841631415009,19.873578814542597,2.5729256614878135,50,100,100,85,0,0.95,100,0.1,0.2,2.5000000000000004
4.8532779921788425,21.04745604028501,2.476207741805911,50,100,100,85,0,0.95,100,0.1,0.2,2.6000000000000005
5.734272697009107,23.174757979764898,2.9257030956896752,50,100,100,85,0,0.95,100,0.1,0.2,2.7
6.534592204303737,25.77848390417047,3.3340368781507044,50,100,100,85,0,0.95,100,0.1,0.2,2.8000000000000003
5.22655310624301,19.268362757536664,2.6666577281365345,50,100,100,85,0,0.95,100,0.1,0.2,2.9000000000000004
5.751897134802719,26.542497503066848,2.9346953210227076,50,100,100,85,0,0.95,100,0.1,0.2,3.0000000000000004
7.099349212125257,29.602784091922743,3.622183503433746,50,100,100,85,0,0.95,100,0.1,0.2,3.1000000000000005
5.5949053520196,19.7761970583914,2.854596000820168,50,100,100,85,0,0.95,100,0.1,0.2,3.2
6.763246778913582,33.818344651966015,3.4506995191040297,50,100,100,85,0,0.95,100,0.1,0.2,3.3000000000000003
7.509538560298254,29.34079907449823,3.831467628758761,50,100,100,85,0,0.95,100,0.1,0.2,3.4000000000000004
6.728917405158093,23.653405654293483,3.433184210646183,50,100,100,85,0,0.95,100,0.1,0.2,3.5000000000000004
7.796083913107931,36.21893788175707,3.977666923781481,50,100,100,85,0,0.95,100,0.1,0.2,3.6000000000000005
7.360551602034576,28.38708662145024,3.7554524777463607,50,100,100,85,0,0.95,100,0.1,0.2,3.7
7.239834522703672,29.325511526462034,3.6938609993910925,50,100,100,85,0,0.95,100,0.1,0.2,3.8000000000000003
6.9328787345629035,29.196777819107293,3.5372480256007592,50,100,100,85,0,0.95,100,0.1,0.2,3.9000000000000004
9.241552525012116,37.33170335586536,4.715164461137197,50,100,100,85,0,0.95,100,0.1,0.2,4
6.668089138989961,24.514862630674084,3.4021488106858073,50,100,100,85,0,0.95,100,0.1,0.2,4.1000000000000005
7.928058160485791,30.62220751326775,4.0450019607611685,50,100,100,85,0,0.95,100,0.1,0.2,4.2
6.919258767372781,31.53903142932682,3.5302989350574863,50,100,100,85,0,0.95,100,0.1,0.2,4.300000000000001
7.13817685538956,26.81988476424073,3.641993889527863,50,100,100,85,0,0.95,100,0.1,0.2,4.4
10.455528418951605,44.06271819861445,5.33455129860726,50,100,100,85,0,0.95,100,0.1,0.2,4.5
8.267750842145299,36.11237526544943,4.218317738162672,50,100,100,85,0,0.95,100,0.1,0.2,4.6000000000000005
8.025419063866657,36.40326350441389,4.094676803844427,50,100,100,85,0,0.95,100,0.1,0.2,4.7
8.051667007750348,31.517677406460454,4.10806885803049,50,100,100,85,0,0.95,100,0.1,0.2,4.800000000000001
7.773373500329846,32.0340223650869,3.9660797655697886,50,100,100,85,0,0.95,100,0.1,0.2,4.9
1.3154034349302834,3.8325092331855557,0.6711365337863441,50,100,100,85,0,0.95,100,0.1,0.25,0.2
2.2320213297784393,7.687029262147274,1.1388073185958205,50,100,100,85,0,0.95,100,0.1,0.25,0.30000000000000004
2.5050374790719254,9.732457747905277,1.2781038319231075,50,100,100,85,0,0.95,100,0.1,0.25,0.4
1.8509188101210345,5.9371034903309745,0.9443636845987202,50,100,100,85,0,0.95,100,0.1,0.25,0.5
2.924486468753624,10.020779562315152,1.4921123509521603,50,100,100,85,0,0.95,100,0.1,0.25,0.6000000000000001
3.2835741327012458,10.256768129790464,1.675323709313875,50,100,100,85,0,0.95,100,0.1,0.25,0.7
3.2433738236444296,11.707691141070157,1.6548129706605574,50,100,100,85,0,0.95,100,0.1,0.25,0.8
4.180675076450141,16.37199380416385,2.1330366830343683,50,100,100,85,0,0.95,100,0.1,0.25,0.9000000000000001
3.79990364108301,14.41545218352198,1.938761972697542,50,100,100,85,0,0.95,100,0.1,0.25,1
4.292106312668659,13.539040967195671,2.189890399274806,50,100,100,85,0,0.95,100,0.1,0.25,1.1
3.664025090042735,12.666054487443871,1.8694349074493704,50,100,100,85,0,0.95,100,0.1,0.25,1.2
4.3119821351595835,16.248998160551512,2.2000313113771215,50,100,100,85,0,0.95,100,0.1,0.25,1.3
4.179491062548077,16.60792619197433,2.1324325832083493,50,100,100,85,0,0.95,100,0.1,0.25,1.4000000000000001
5.868756260349489,17.59793427135146,2.994318419441117,50,100,100,85,0,0.95,100,0.1,0.25,1.5
5.554823769051147,21.35772422014379,2.8341458378148214,50,100,100,85,0,0.95,100,0.1,0.25,1.6
5.454459025651044,20.52094289621306,2.782938395131299,50,100,100,85,0,0.95,100,0.1,0.25,1.7
5.3387609898518065,19.257393868452265,2.7239077003267775,50,100,100,85,0,0.95,100,0.1,0.25,1.8
5.79427175733378,24.00246500892006,2.9563154236701576,50,100,100,85,0,0.95,100,0.1,0.25,1.9000000000000001
5.27377108899068,23.226359009214658,2.6907489783432315,50,100,100,85,0,0.95,100,0.1,0.25,2
6.718427215967536,18.107203804005305,3.427831974955475,50,100,100,85,0,0.95,100,0.1,0.25,2.1
6.29617202460078,20.61746924104792,3.2123916940638617,50,100,100,85,0,0.95,100,0.1,0.25,2.2
4.776085121335407,12.076109129389122,2.436822900322943,50,100,100,85,0,0.95,100,0.1,0.25,2.3000000000000003
6.3393473840407255,21.563188769922636,3.2344203434576806,50,100,100,85,0,0.95,100,0.1,0.25,2.4000000000000004
6.78383636946522,20.845789404684528,3.461204605276044,50,100,100,85,0,0.95,100,0.1,0.25,2.5000000000000004
7.913490357657975,23.070163526046386,4.037569271720591,50,100,100,85,0,0.95,100,0.1,0.25,2.6000000000000005
