S0,K,r,m,T,H,sigma,trading_days,price_mc
100,100,0.1,50,1.2,90,0.49999999999999994,250,15.029
100,100,0.1,50,1.2,90,0.5499999999999999,250,15.353
100,100,0.1,50,1.2,90,0.5999999999999999,250,15.688
100,100,0.1,50,1.3,90,0.2,250,13.772
100,100,0.1,50,1.3,90,0.25,250,14.059
100,100,0.1,50,1.3,90,0.3,250,14.321
100,100,0.1,50,1.3,90,0.35,250,14.587
100,100,0.1,50,1.3,90,0.39999999999999997,250,14.865
100,100,0.1,50,1.3,90,0.44999999999999996,250,15.158
100,100,0.1,50,1.3,90,0.49999999999999994,250,15.447
100,100,0.1,50,1.3,90,0.5499999999999999,250,15.765
100,100,0.1,50,1.3,90,0.5999999999999999,250,16.101
100,100,0.1,50,1.4,90,0.2,250,14.369
100,100,0.1,50,1.4,90,0.25,250,14.588
100,100,0.1,50,1.4,90,0.3,250,14.797
100,100,0.1,50,1.4,90,0.35,250,15.027
100,100,0.1,50,1.4,90,0.39999999999999997,250,15.286
100,100,0.1,50,1.4,90,0.44999999999999996,250,15.556
100,100,0.1,50,1.4,90,0.49999999999999994,250,15.84
100,100,0.1,50,1.4,90,0.5499999999999999,250,16.155
100,100,0.1,50,1.4,90,0.5999999999999999,250,16.486
100,100,0.1,50,1.5,90,0.2,250,14.948
100,100,0.1,50,1.5,90,0.25,250,15.096
100,100,0.1,50,1.5,90,0.3,250,15.258
100,100,0.1,50,1.5,90,0.35,250,15.453
100,100,0.1,50,1.5,90,0.39999999999999997,250,15.685
100,100,0.1,50,1.5,90,0.44999999999999996,250,15.932
100,100,0.1,50,1.5,90,0.49999999999999994,250,16.221
100,100,0.1,50,1.5,90,0.5499999999999999,250,16.535
100,100,0.1,50,1.5,90,0.5999999999999999,250,16.878
100,100,0.1,50,1.6,90,0.2,250,15.509
100,100,0.1,50,1.6,90,0.25,250,15.588
100,100,0.1,50,1.6,90,0.3,250,15.702
100,100,0.1,50,1.6,90,0.35,250,15.862
100,100,0.1,50,1.6,90,0.39999999999999997,250,16.07
100,100,0.1,50,1.6,90,0.44999999999999996,250,16.3
100,100,0.1,50,1.6,90,0.49999999999999994,250,16.59
100,100,0.1,50,1.6,90,0.5499999999999999,250,16.902
100,100,0.1,50,1.6,90,0.5999999999999999,250,17.25
100,100,0.1,50,1.7,90,0.2,250,16.058
100,100,0.1,50,1.7,90,0.25,250,16.06
100,100,0.1,50,1.7,90,0.3,250,16.132
100,100,0.1,50,1.7,90,0.35,250,16.256
100,100,0.1,50,1.7,90,0.39999999999999997,250,16.449
100,100,0.1,50,1.7,90,0.44999999999999996,250,16.668
100,100,0.1,50,1.7,90,0.49999999999999994,250,16.938
100,100,0.1,50,1.7,90,0.5499999999999999,250,17.247
100,100,0.1,50,1.7,90,0.5999999999999999,250,17.615
100,100,0.1,50,1.8,90,0.2,250,16.596
100,100,0.1,50,1.8,90,0.25,250,16.525
100,100,0.1,50,1.8,90,0.3,250,16.547
100,100,0.1,50,1.8,90,0.35,250,16.645
100,100,0.1,50,1.8,90,0.39999999999999997,250,16.82
100,100,0.1,50,1.8,90,0.44999999999999996,250,17.018
100,100,0.1,50,1.8,90,0.49999999999999994,250,17.28
100,100,0.1,50,1.8,90,0.5499999999999999,250,17.584
100,100,0.1,50,1.8,90,0.5999999999999999,250,17.953
100,100,0.1,50,1.9,90,0.2,250,17.121
100,100,0.1,50,1.9,90,0.25,250,16.977
100,100,0.1,50,1.9,90,0.3,250,16.947
100,100,0.1,50,1.9,90,0.35,250,17.014
100,100,0.1,50,1.9,90,0.39999999999999997,250,17.158
100,100,0.1,50,1.9,90,0.44999999999999996,250,17.353
100,100,0.1,50,1.9,90,0.49999999999999994,250,17.613
100,100,0.1,50,1.9,90,0.5499999999999999,250,17.934
100,100,0.1,50,1.9,90,0.5999999999999999,250,18.28
100,100,0.1,50,2.0,90,0.2,250,17.635
100,100,0.1,50,2.0,90,0.25,250,17.416
100,100,0.1,50,2.0,90,0.3,250,17.343
100,100,0.1,50,2.0,90,0.35,250,17.38
100,100,0.1,50,2.0,90,0.39999999999999997,250,17.495
100,100,0.1,50,2.0,90,0.44999999999999996,250,17.687
100,100,0.1,50,2.0,90,0.49999999999999994,250,17.938
100,100,0.1,50,2.0,90,0.5499999999999999,250,18.264
100,100,0.1,50,2.0,90,0.5999999999999999,250,18.599
100,100,0.1,50,2.1,90,0.2,250,18.139
100,100,0.1,50,2.1,90,0.25,250,17.847
100,100,0.1,50,2.1,90,0.3,250,17.728
100,100,0.1,50,2.1,90,0.35,250,17.731
100,100,0.1,50,2.1,90,0.39999999999999997,250,17.823
100,100,0.1,50,2.1,90,0.44999999999999996,250,18.01
100,100,0.1,50,2.1,90,0.49999999999999994,250,18.254
100,100,0.1,50,2.1,90,0.5499999999999999,250,18.586
100,100,0.1,50,2.1,90,0.5999999999999999,250,18.907
100,100,0.1,50,2.2,90,0.2,250,18.633
100,100,0.1,50,2.2,90,0.25,250,18.265
100,100,0.1,50,2.2,90,0.3,250,18.107
100,100,0.1,50,2.2,90,0.35,250,18.075
100,100,0.1,50,2.2,90,0.39999999999999997,250,18.149
100,100,0.1,50,2.2,90,0.44999999999999996,250,18.328
100,100,0.1,50,2.2,90,0.49999999999999994,250,18.564
100,100,0.1,50,2.2,90,0.5499999999999999,250,18.894
100,100,0.1,50,2.2,90,0.5999999999999999,250,19.229
100,100,0.1,50,2.3,90,0.2,250,19.12
100,100,0.1,50,2.3,90,0.25,250,18.678
100,100,0.1,50,2.3,90,0.3,250,18.474
100,100,0.1,50,2.3,90,0.35,250,18.417
100,100,0.1,50,2.3,90,0.39999999999999997,250,18.46
100,100,0.1,50,2.3,90,0.44999999999999996,250,18.63
100,100,0.1,50,2.3,90,0.49999999999999994,250,18.868
100,100,0.1,50,2.3,90,0.5499999999999999,250,19.191
100,100,0.1,50,2.3,90,0.5999999999999999,250,19.523
100,100,0.1,50,2.4,90,0.2,250,19.598
100,100,0.1,50,2.4,90,0.25,250,19.082
100,100,0.1,50,2.4,90,0.3,250,18.83
100,100,0.1,50,2.4,90,0.35,250,18.746
100,100,0.1,50,2.4,90,0.39999999999999997,250,18.768
100,100,0.1,50,2.4,90,0.44999999999999996,250,18.93
100,100,0.1,50,2.4,90,0.49999999999999994,250,19.166
100,100,0.1,50,2.4,90,0.5499999999999999,250,19.475
100,100,0.1,50,2.4,90,0.5999999999999999,250,19.813
100,100,0.1,50,2.5,90,0.2,250,20.067
100,100,0.1,50,2.5,90,0.25,250,19.48
100,100,0.1,50,2.5,90,0.3,250,19.18
100,100,0.1,50,2.5,90,0.35,250,19.068
100,100,0.1,50,2.5,90,0.39999999999999997,250,19.078
100,100,0.1,50,2.5,90,0.44999999999999996,250,19.219
100,100,0.1,50,2.5,90,0.49999999999999994,250,19.449
100,100,0.1,50,2.5,90,0.5499999999999999,250,19.756
100,100,0.1,50,2.5,90,0.5999999999999999,250,20.089
100,100,0.1,50,2.6,90,0.2,250,20.526
100,100,0.1,50,2.6,90,0.25,250,19.876
100,100,0.1,50,2.6,90,0.3,250,19.52
100,100,0.1,50,2.6,90,0.35,250,19.383
100,100,0.1,50,2.6,90,0.39999999999999997,250,19.369
100,100,0.1,50,2.6,90,0.44999999999999996,250,19.506
100,100,0.1,50,2.6,90,0.49999999999999994,250,19.744
100,100,0.1,50,2.6,90,0.5499999999999999,250,20.041
100,100,0.1,50,2.6,90,0.5999999999999999,250,20.383
100,100,0.1,50,2.7,90,0.2,250,20.981
100,100,0.1,50,2.7,90,0.25,250,20.26
100,100,0.1,50,2.7,90,0.3,250,19.859
100,100,0.1,50,2.7,90,0.35,250,19.692
100,100,0.1,50,2.7,90,0.39999999999999997,250,19.667
100,100,0.1,50,2.7,90,0.44999999999999996,250,19.782
100,100,0.1,50,2.7,90,0.49999999999999994,250,20.019
100,100,0.1,50,2.7,90,0.5499999999999999,250,20.319
100,100,0.1,50,2.7,90,0.5999999999999999,250,20.676
100,100,0.1,50,2.8,90,0.2,250,21.426
100,100,0.1,50,2.8,90,0.25,250,20.639
100,100,0.1,50,2.8,90,0.3,250,20.199
100,100,0.1,50,2.8,90,0.35,250,19.99
100,100,0.1,50,2.8,90,0.39999999999999997,250,19.958
100,100,0.1,50,2.8,90,0.44999999999999996,250,20.061
100,100,0.1,50,2.8,90,0.49999999999999994,250,20.295
100,100,0.1,50,2.8,90,0.5499999999999999,250,20.575
100,100,0.1,50,2.8,90,0.5999999999999999,250,20.942
100,100,0.1,50,2.9,90,0.2,250,21.869
100,100,0.1,50,2.9,90,0.25,250,21.011
100,100,0.1,50,2.9,90,0.3,250,20.521
100,100,0.1,50,2.9,90,0.35,250,20.281
100,100,0.1,50,2.9,90,0.39999999999999997,250,20.236
100,100,0.1,50,2.9,90,0.44999999999999996,250,20.339
100,100,0.1,50,2.9,90,0.49999999999999994,250,20.579
100,100,0.1,50,2.9,90,0.5499999999999999,250,20.841
100,100,0.1,50,2.9,90,0.5999999999999999,250,21.208
100,100,0.1,50,3.0,90,0.2,250,22.303
100,100,0.1,50,3.0,90,0.25,250,21.375
100,100,0.1,50,3.0,90,0.3,250,20.836
100,100,0.1,50,3.0,90,0.35,250,20.565
100,100,0.1,50,3.0,90,0.39999999999999997,250,20.509
100,100,0.1,50,3.0,90,0.44999999999999996,250,20.603
100,100,0.1,50,3.0,90,0.49999999999999994,250,20.829
100,100,0.1,50,3.0,90,0.5499999999999999,250,21.099
100,100,0.1,50,3.0,90,0.5999999999999999,250,21.475
100,100,0.1,50,3.1,90,0.2,250,22.729
100,100,0.1,50,3.1,90,0.25,250,21.73
100,100,0.1,50,3.1,90,0.3,250,21.157
100,100,0.1,50,3.1,90,0.35,250,20.86
100,100,0.1,50,3.1,90,0.39999999999999997,250,20.774
100,100,0.1,50,3.1,90,0.44999999999999996,250,20.874
100,100,0.1,50,3.1,90,0.49999999999999994,250,21.079
100,100,0.1,50,3.1,90,0.5499999999999999,250,21.342
100,100,0.1,50,3.1,90,0.5999999999999999,250,21.713
100,100,0.1,50,3.2,90,0.2,250,23.153
100,100,0.1,50,3.2,90,0.25,250,22.082
100,100,0.1,50,3.2,90,0.3,250,21.461
100,100,0.1,50,3.2,90,0.35,250,21.142
100,100,0.1,50,3.2,90,0.39999999999999997,250,21.038
100,100,0.1,50,3.2,90,0.44999999999999996,250,21.13
100,100,0.1,50,3.2,90,0.49999999999999994,250,21.345
100,100,0.1,50,3.2,90,0.5499999999999999,250,21.586
100,100,0.1,50,3.2,90,0.5999999999999999,250,21.978
100,100,0.1,50,3.3,90,0.2,250,23.569
100,100,0.1,50,3.3,90,0.25,250,22.431
100,100,0.1,50,3.3,90,0.3,250,21.772
100,100,0.1,50,3.3,90,0.35,250,21.414
100,100,0.1,50,3.3,90,0.39999999999999997,250,21.302
100,100,0.1,50,3.3,90,0.44999999999999996,250,21.382
100,100,0.1,50,3.3,90,0.49999999999999994,250,21.584
100,100,0.1,50,3.3,90,0.5499999999999999,250,21.849
100,100,0.1,50,3.3,90,0.5999999999999999,250,22.233
100,100,0.1,50,3.4,90,0.2,250,23.979
100,100,0.1,50,3.4,90,0.25,250,22.779
100,100,0.1,50,3.4,90,0.3,250,22.073
100,100,0.1,50,3.4,90,0.35,250,21.687
