S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,best_beta
200,200,0.1,50,0.2,198,0.3,250,4.6696776290791515,2.34158606980084,4.542677502095657,0.611
200,200,0.1,50,0.2,199,0.3,250,3.8733742666150115,1.2095994854006022,3.586617249521723,0.6889
200,200,0.1,50,0.2,200,0.3,250,3.1012738334244814,0.0,2.5572862723761602,0.711
300,300,0.1,50,0.2,255,0.3,250,18.97493647283341,18.922724797415775,18.966846048919866,0.711
300,300,0.1,50,0.2,256,0.3,250,18.957722062368184,18.901516872247775,18.953538195877822,0.611
300,300,0.1,50,0.2,257,0.3,250,18.9250300968981,18.87675410667132,18.937865764768176,0.411
300,300,0.1,50,0.2,258,0.3,250,18.927788868167095,18.847944467198,18.919476054373597,0.6889
300,300,0.1,50,0.2,259,0.3,250,18.893203541596442,18.814545252355106,18.89797571269978,0.511
300,300,0.1,50,0.2,260,0.3,250,18.87843873017374,18.775960445502193,18.872927922661503,0.611
300,300,0.1,50,0.2,261,0.3,250,18.838444320431776,18.731538275268704,18.843849656317932,0.511
300,300,0.1,50,0.2,262,0.3,250,18.80922117464646,18.680569034471358,18.81020903936453,0.5889
300,300,0.1,50,0.2,263,0.3,250,18.773532912501295,18.622283208876834,18.77142287005495,0.591
300,300,0.1,50,0.2,264,0.3,250,18.732203152307427,18.555849966745136,18.72685433858213,0.6089
300,300,0.1,50,0.2,265,0.3,250,18.67267685502598,18.48037605866032,18.675810994099265,0.5889
300,300,0.1,50,0.2,266,0.3,250,18.61452668574141,18.39490517468945,18.61754300692688,0.5889
300,300,0.1,50,0.2,267,0.3,250,18.564912125023202,18.298417802390325,18.55124177300137,0.611
300,300,0.1,50,0.2,268,0.3,250,18.47109126016679,18.18983162462357,18.47603890622183,0.5889
300,300,0.1,50,0.2,269,0.3,250,18.38983005452093,18.068002490550555,18.391005662011036,0.5889
300,300,0.1,50,0.2,270,0.3,250,18.298626308836983,17.93172598667756,18.295152832110766,0.589
300,300,0.1,50,0.2,271,0.3,250,18.183843639274784,17.77973962742741,18.18743114639242,0.5889
300,300,0.1,50,0.2,272,0.3,250,18.075936479622985,17.610725676594566,18.066732212311777,0.5989
300,300,0.1,50,0.2,273,0.3,250,17.92867198301923,17.423314602308356,17.931890016632476,0.5889
300,300,0.1,50,0.2,274,0.3,250,17.78033925670966,17.21608915894099,17.78168300726282,0.5889
300,300,0.1,50,0.2,275,0.3,250,17.61665365201689,16.98758907993359,17.614836765600984,0.5889
300,300,0.1,50,0.2,276,0.3,250,17.428558126083683,16.736316355949427,17.430027271782542,0.5889
300,300,0.1,50,0.2,277,0.3,250,17.232700567797767,16.460741063301178,17.22588475681678,0.5889
300,300,0.1,50,0.2,278,0.3,250,16.99706742590199,16.159307698422978,17.0009981269327,0.5889
300,300,0.1,50,0.2,279,0.3,250,16.758280991957736,15.830441965471977,16.753919936703888,0.5889
300,300,0.1,50,0.2,280,0.3,250,16.470698915465213,15.472557956122294,16.483171878848225,0.5889
300,300,0.1,50,0.2,281,0.3,250,16.177449798466526,15.084065653439183,16.18725075018674,0.5889
300,300,0.1,50,0.2,282,0.3,250,15.874387124790243,14.663378685543222,15.864634845259296,0.5889
300,300,0.1,50,0.2,283,0.3,250,15.504228658654869,14.208922249732716,15.513790721708176,0.5889
300,300,0.1,50,0.2,284,0.3,250,15.131636880660915,13.719141123934563,15.133180274904994,0.5889
300,300,0.1,50,0.2,285,0.3,250,14.718246278137368,13.192507679888806,14.721268053553011,0.5889
300,300,0.1,50,0.2,286,0.3,250,14.268092562097904,12.62752981138982,14.276528743272124,0.5889
300,300,0.1,50,0.2,287,0.3,250,13.795924488116095,12.022758691235154,13.797454741567549,0.5889
300,300,0.1,50,0.2,288,0.3,250,13.265803291901127,11.376796272263675,13.282563745172396,0.5889
300,300,0.1,50,0.2,289,0.3,250,12.7297863671208,10.6883024509619,12.730406269594056,0.5889
300,300,0.1,50,0.2,290,0.3,250,12.139632514004244,9.956001816515055,12.13957302080847,0.5889
300,300,0.1,50,0.2,291,0.3,250,11.504141802159142,9.178689913783543,11.508702040432667,0.5889
300,300,0.1,50,0.2,292,0.3,250,10.823530762733867,8.35523895538293,10.836485548337834,0.5889
300,300,0.1,50,0.2,293,0.3,250,10.128315654435472,7.484602925691476,10.121676410485037,0.5889
300,300,0.1,50,0.2,294,0.3,250,9.375226784049715,6.565822028056104,9.36309416469794,0.5889
300,300,0.1,50,0.2,295,0.3,250,8.598301416596268,5.598026435539495,8.559630543026714,0.591
300,300,0.1,50,0.2,296,0.3,250,7.81706667013852,4.580439315076575,7.710254436187171,0.601
300,300,0.1,50,0.2,297,0.3,250,7.005877010280556,3.512379104701239,6.8140162531434925,0.611
300,300,0.1,50,0.2,298,0.3,250,6.203316893948229,2.39326103338513,5.870051637088707,0.611
300,300,0.1,50,0.2,299,0.3,250,5.41811781309082,1.2225978828193433,4.877584507712385,0.6889
300,300,0.1,50,0.2,300,0.3,250,4.65191660658439,0.0,3.8359294085642546,0.711
