S0,K,r,m,T,H,sigma,trading_days,price_mc,price,price_adj,best_beta
100,100,0.1,50,0.2,90,0.2,250,4.59,4.579,4.591,0.511
100,100,0.1,50,0.2,90,0.25,250,5.382,5.332,5.383,0.5889
100,100,0.1,50,0.2,90,0.3,250,6.098,5.977,6.098,0.5889
100,100,0.1,50,0.2,90,0.35,250,6.734,6.513,6.732,0.59
100,100,0.1,50,0.2,90,0.4,250,7.295,6.955,7.29,0.591
100,100,0.1,50,0.2,90,0.45,250,7.789,7.319,7.786,0.5889
100,100,0.1,50,0.2,90,0.5,250,8.237,7.621,8.231,0.5899
100,100,0.1,50,0.2,90,0.55,250,8.639,7.875,8.633,0.5889
100,100,0.1,50,0.2,90,0.6,250,9.009,8.089,9.001,0.5889
100,100,0.1,50,0.3,90,0.2,250,5.856,5.81,5.858,0.5889
100,100,0.1,50,0.3,90,0.25,250,6.702,6.564,6.702,0.5889
100,100,0.1,50,0.3,90,0.3,250,7.432,7.159,7.427,0.591
100,100,0.1,50,0.3,90,0.35,250,8.053,7.621,8.048,0.59
100,100,0.1,50,0.3,90,0.4,250,8.591,7.983,8.586,0.5889
100,100,0.1,50,0.3,90,0.45,250,9.068,8.271,9.06,0.589
100,100,0.1,50,0.3,90,0.5,250,9.494,8.502,9.485,0.5889
100,100,0.1,50,0.3,90,0.55,250,9.89,8.691,9.873,0.591
100,100,0.1,50,0.3,90,0.6,250,10.245,8.847,10.23,0.5899
100,100,0.1,50,0.4,90,0.2,250,6.951,6.85,6.953,0.5889
100,100,0.1,50,0.4,90,0.25,250,7.796,7.546,7.793,0.591
100,100,0.1,50,0.4,90,0.3,250,8.498,8.06,8.491,0.591
100,100,0.1,50,0.4,90,0.35,250,9.084,8.439,9.081,0.5889
100,100,0.1,50,0.4,90,0.4,250,9.598,8.725,9.59,0.5889
100,100,0.1,50,0.4,90,0.45,250,10.052,8.945,10.04,0.5899
100,100,0.1,50,0.4,90,0.5,250,10.461,9.117,10.447,0.589
100,100,0.1,50,0.4,90,0.55,250,10.839,9.253,10.822,0.5899
100,100,0.1,50,0.4,90,0.6,250,11.189,9.364,11.172,0.5889
100,100,0.1,50,0.5,90,0.2,250,7.929,7.759,7.93,0.5889
100,100,0.1,50,0.5,90,0.25,250,8.742,8.37,8.736,0.591
100,100,0.1,50,0.5,90,0.3,250,9.399,8.794,9.394,0.5889
100,100,0.1,50,0.5,90,0.35,250,9.958,9.094,9.947,0.591
100,100,0.1,50,0.5,90,0.4,250,10.439,9.309,10.426,0.59
100,100,0.1,50,0.5,90,0.45,250,10.87,9.469,10.854,0.59
100,100,0.1,50,0.5,90,0.5,250,11.264,9.59,11.246,0.5899
100,100,0.1,50,0.5,90,0.55,250,11.629,9.684,11.61,0.589
100,100,0.1,50,0.5,90,0.6,250,11.977,9.757,11.954,0.589
100,100,0.1,50,0.6,90,0.2,250,8.822,8.572,8.82,0.5889
100,100,0.1,50,0.6,90,0.25,250,9.586,9.086,9.577,0.591
100,100,0.1,50,0.6,90,0.3,250,10.193,9.42,10.189,0.5889
100,100,0.1,50,0.6,90,0.35,250,10.714,9.642,10.704,0.589
100,100,0.1,50,0.6,90,0.4,250,11.168,9.794,11.154,0.589
100,100,0.1,50,0.6,90,0.45,250,11.58,9.9,11.561,0.59
100,100,0.1,50,0.6,90,0.5,250,11.96,9.977,11.938,0.5899
100,100,0.1,50,0.6,90,0.55,250,12.319,10.033,12.294,0.5899
100,100,0.1,50,0.6,90,0.6,250,12.659,10.074,12.634,0.589
100,100,0.1,50,0.7,90,0.2,250,9.649,9.313,9.645,0.591
100,100,0.1,50,0.7,90,0.25,250,10.35,9.723,10.344,0.5899
100,100,0.1,50,0.7,90,0.3,250,10.917,9.968,10.906,0.5909
100,100,0.1,50,0.7,90,0.35,250,11.398,10.118,11.382,0.5909
100,100,0.1,50,0.7,90,0.4,250,11.823,10.21,11.805,0.59
100,100,0.1,50,0.7,90,0.45,250,12.212,10.268,12.192,0.589
100,100,0.1,50,0.7,90,0.5,250,12.576,10.305,12.556,0.5889
100,100,0.1,50,0.7,90,0.55,250,12.932,10.327,12.904,0.5899
100,100,0.1,50,0.7,90,0.6,250,13.27,10.34,13.241,0.589
100,100,0.1,50,0.8,90,0.2,250,10.425,9.996,10.417,0.5989
100,100,0.1,50,0.8,90,0.25,250,11.06,10.3,11.052,0.5899
