S0,K,r,m,T,H,sigma,trading_days,price_mc,price,price_adj,best_beta
100,100,0.1,50,0.8,95,0.4,250,8.758,6.03,8.717,0.591
100,100,0.1,50,0.8,95,0.45,250,9.032,5.919,8.959,0.5989
100,100,0.1,50,0.8,95,0.5,250,9.328,5.828,9.216,0.601
100,100,0.1,50,0.8,95,0.55,250,9.628,5.752,9.484,0.6089
100,100,0.1,50,0.8,95,0.6,250,9.948,5.688,9.76,0.611
100,100,0.1,50,0.9,95,0.2,250,8.535,7.194,8.523,0.5889
100,100,0.1,50,0.9,95,0.25,250,8.596,6.817,8.579,0.5889
100,100,0.1,50,0.9,95,0.3,250,8.733,6.54,8.709,0.5899
100,100,0.1,50,0.9,95,0.35,250,8.923,6.33,8.89,0.5909
100,100,0.1,50,0.9,95,0.4,250,9.164,6.166,9.106,0.5989
100,100,0.1,50,0.9,95,0.45,250,9.441,6.035,9.348,0.6009
100,100,0.1,50,0.9,95,0.5,250,9.741,5.929,9.608,0.6089
100,100,0.1,50,0.9,95,0.55,250,10.059,5.841,9.882,0.6109
100,100,0.1,50,0.9,95,0.6,250,10.397,5.766,10.167,0.611
100,100,0.1,50,1.0,95,0.2,250,9.004,7.501,8.989,0.589
100,100,0.1,50,1.0,95,0.25,250,9.015,7.05,8.996,0.5889
100,100,0.1,50,1.0,95,0.3,250,9.124,6.723,9.099,0.589
100,100,0.1,50,1.0,95,0.35,250,9.303,6.479,9.266,0.591
100,100,0.1,50,1.0,95,0.4,250,9.554,6.291,9.476,0.5989
100,100,0.1,50,1.0,95,0.45,250,9.835,6.142,9.717,0.601
100,100,0.1,50,1.0,95,0.5,250,10.136,6.021,9.98,0.6089
100,100,0.1,50,1.0,95,0.55,250,10.476,5.921,10.26,0.611
100,100,0.1,50,1.0,95,0.6,250,10.821,5.837,10.553,0.611
100,100,0.1,50,1.1,95,0.2,250,9.454,7.793,9.439,0.5889
100,100,0.1,50,1.1,95,0.25,250,9.419,7.268,9.397,0.589
100,100,0.1,50,1.1,95,0.3,250,9.498,6.895,9.472,0.589
100,100,0.1,50,1.1,95,0.35,250,9.672,6.619,9.625,0.591
100,100,0.1,50,1.1,95,0.4,250,9.922,6.407,9.829,0.6
100,100,0.1,50,1.1,95,0.45,250,10.201,6.24,10.069,0.601
100,100,0.1,50,1.1,95,0.5,250,10.522,6.106,10.335,0.611
100,100,0.1,50,1.1,95,0.55,250,10.868,5.995,10.62,0.611
100,100,0.1,50,1.1,95,0.6,250,11.238,5.902,10.919,0.611
100,100,0.1,50,1.2,95,0.2,250,9.889,8.07,9.875,0.5889
100,100,0.1,50,1.2,95,0.25,250,9.81,7.475,9.783,0.59
100,100,0.1,50,1.2,95,0.3,250,9.866,7.056,9.832,0.5909
100,100,0.1,50,1.2,95,0.35,250,10.036,6.749,9.97,0.5989
100,100,0.1,50,1.2,95,0.4,250,10.274,6.515,10.168,0.601
100,100,0.1,50,1.2,95,0.45,250,10.563,6.332,10.407,0.6089
100,100,0.1,50,1.2,95,0.5,250,10.893,6.184,10.675,0.611
100,100,0.1,50,1.2,95,0.55,250,11.247,6.063,10.965,0.611
100,100,0.1,50,1.2,95,0.6,250,11.635,5.962,11.27,0.611
100,100,0.1,50,1.3,95,0.2,250,10.316,8.336,10.298,0.5889
100,100,0.1,50,1.3,95,0.25,250,10.186,7.672,10.158,0.59
100,100,0.1,50,1.3,95,0.3,250,10.226,7.209,10.18,0.591
100,100,0.1,50,1.3,95,0.35,250,10.385,6.872,10.304,0.5989
100,100,0.1,50,1.3,95,0.4,250,10.628,6.617,10.495,0.601
100,100,0.1,50,1.3,95,0.45,250,10.912,6.417,10.732,0.6099
100,100,0.1,50,1.3,95,0.5,250,11.25,6.258,11.002,0.611
100,100,0.1,50,1.3,95,0.55,250,11.612,6.127,11.296,0.611
100,100,0.1,50,1.3,95,0.6,250,12.004,6.018,11.607,0.611
100,100,0.1,50,1.4,95,0.2,250,10.733,8.592,10.71,0.5899
100,100,0.1,50,1.4,95,0.25,250,10.553,7.86,10.522,0.59
100,100,0.1,50,1.4,95,0.3,250,10.569,7.355,10.517,0.591
100,100,0.1,50,1.4,95,0.35,250,10.724,6.989,10.627,0.6
100,100,0.1,50,1.4,95,0.4,250,10.963,6.713,10.811,0.6089
100,100,0.1,50,1.4,95,0.45,250,11.254,6.498,11.046,0.611
100,100,0.1,50,1.4,95,0.5,250,11.6,6.326,11.317,0.611
100,100,0.1,50,1.4,95,0.55,250,11.972,6.186,11.615,0.611
100,100,0.1,50,1.4,95,0.6,250,12.377,6.07,11.932,0.611
100,100,0.1,50,1.5,95,0.2,250,11.136,8.839,11.113,0.589
100,100,0.1,50,1.5,95,0.25,250,10.91,8.041,10.877,0.59
100,100,0.1,50,1.5,95,0.3,250,10.904,7.494,10.845,0.591
100,100,0.1,50,1.5,95,0.35,250,11.05,7.1,10.94,0.601
100,100,0.1,50,1.5,95,0.4,250,11.285,6.804,11.117,0.6089
100,100,0.1,50,1.5,95,0.45,250,11.583,6.574,11.35,0.611
100,100,0.1,50,1.5,95,0.5,250,11.93,6.391,11.622,0.611
100,100,0.1,50,1.5,95,0.55,250,12.321,6.242,11.923,0.611
100,100,0.1,50,1.5,95,0.6,250,12.741,6.118,12.245,0.611
100,100,0.1,50,1.6,95,0.2,250,11.534,9.078,11.508,0.5899
100,100,0.1,50,1.6,95,0.25,250,11.259,8.214,11.223,0.5909
100,100,0.1,50,1.6,95,0.3,250,11.238,7.627,11.164,0.5989
100,100,0.1,50,1.6,95,0.35,250,11.371,7.206,11.245,0.601
100,100,0.1,50,1.6,95,0.4,250,11.608,6.89,11.414,0.61
100,100,0.1,50,1.6,95,0.45,250,11.908,6.646,11.645,0.611
100,100,0.1,50,1.6,95,0.5,250,12.259,6.452,11.918,0.611
100,100,0.1,50,1.6,95,0.55,250,12.654,6.295,12.222,0.611
100,100,0.1,50,1.6,95,0.6,250,13.091,6.164,12.549,0.611
100,100,0.1,50,1.7,95,0.2,250,11.924,9.309,11.894,0.59
100,100,0.1,50,1.7,95,0.25,250,11.6,8.382,11.561,0.5909
100,100,0.1,50,1.7,95,0.3,250,11.561,7.755,11.476,0.5989
100,100,0.1,50,1.7,95,0.35,250,11.682,7.307,11.542,0.601
100,100,0.1,50,1.7,95,0.4,250,11.913,6.973,11.704,0.611
100,100,0.1,50,1.7,95,0.45,250,12.22,6.715,11.932,0.611
100,100,0.1,50,1.7,95,0.5,250,12.574,6.511,12.205,0.611
100,100,0.1,50,1.7,95,0.55,250,12.982,6.344,12.512,0.611
100,100,0.1,50,1.7,95,0.6,250,13.427,6.207,12.843,0.611
100,100,0.1,50,1.8,95,0.2,250,12.304,9.534,12.274,0.5899
100,100,0.1,50,1.8,95,0.25,250,11.938,8.544,11.893,0.591
100,100,0.1,50,1.8,95,0.3,250,11.879,7.878,11.781,0.599
100,100,0.1,50,1.8,95,0.35,250,11.99,7.404,11.831,0.6089
100,100,0.1,50,1.8,95,0.4,250,12.215,7.052,11.986,0.611
100,100,0.1,50,1.8,95,0.45,250,12.526,6.781,12.211,0.611
100,100,0.1,50,1.8,95,0.5,250,12.894,6.566,12.485,0.611
100,100,0.1,50,1.8,95,0.55,250,13.306,6.392,12.794,0.611
100,100,0.1,50,1.8,95,0.6,250,13.74,6.248,13.129,0.611
100,100,0.1,50,1.9,95,0.2,250,12.68,9.752,12.647,0.59
100,100,0.1,50,1.9,95,0.25,250,12.273,8.7,12.218,0.591
100,100,0.1,50,1.9,95,0.3,250,12.189,7.997,12.079,0.6
100,100,0.1,50,1.9,95,0.35,250,12.29,7.498,12.115,0.6089
100,100,0.1,50,1.9,95,0.4,250,12.516,7.128,12.262,0.611
100,100,0.1,50,1.9,95,0.45,250,12.823,6.844,12.484,0.611
100,100,0.1,50,1.9,95,0.5,250,13.194,6.619,12.757,0.611
100,100,0.1,50,1.9,95,0.55,250,13.618,6.437,13.068,0.611
100,100,0.1,50,1.9,95,0.6,250,14.056,6.287,13.407,0.611
100,100,0.1,50,2.0,95,0.2,250,13.046,9.965,13.014,0.5899
100,100,0.1,50,2.0,95,0.25,250,12.602,8.852,12.537,0.591
100,100,0.1,50,2.0,95,0.3,250,12.491,8.111,12.371,0.601
100,100,0.1,50,2.0,95,0.35,250,12.578,7.588,12.392,0.6089
100,100,0.1,50,2.0,95,0.4,250,12.809,7.201,12.531,0.611
100,100,0.1,50,2.0,95,0.45,250,13.11,6.904,12.75,0.611
100,100,0.1,50,2.0,95,0.5,250,13.493,6.669,13.023,0.611
100,100,0.1,50,2.0,95,0.55,250,13.93,6.48,13.336,0.611
100,100,0.1,50,2.0,95,0.6,250,14.367,6.324,13.678,0.611
100,100,0.1,50,2.1,95,0.2,250,13.413,10.173,13.375,0.59
100,100,0.1,50,2.1,95,0.25,250,12.924,9.0,12.851,0.5989
100,100,0.1,50,2.1,95,0.3,250,12.788,8.223,12.658,0.601
100,100,0.1,50,2.1,95,0.35,250,12.87,7.675,12.664,0.6099
100,100,0.1,50,2.1,95,0.4,250,13.088,7.271,12.795,0.611
100,100,0.1,50,2.1,95,0.45,250,13.401,6.961,13.01,0.611
100,100,0.1,50,2.1,95,0.5,250,13.783,6.718,13.283,0.611
100,100,0.1,50,2.1,95,0.55,250,14.227,6.521,13.597,0.611
100,100,0.1,50,2.1,95,0.6,250,14.663,6.359,13.943,0.611
100,100,0.1,50,2.2,95,0.2,250,13.772,10.375,13.732,0.5909
100,100,0.1,50,2.2,95,0.25,250,13.241,9.144,13.159,0.5989
100,100,0.1,50,2.2,95,0.3,250,13.082,8.33,12.94,0.601
100,100,0.1,50,2.2,95,0.35,250,13.162,7.759,12.931,0.611
100,100,0.1,50,2.2,95,0.4,250,13.371,7.338,13.054,0.611
100,100,0.1,50,2.2,95,0.45,250,13.686,7.017,13.265,0.611
100,100,0.1,50,2.2,95,0.5,250,14.068,6.764,13.537,0.611
100,100,0.1,50,2.2,95,0.55,250,14.517,6.56,13.853,0.611
100,100,0.1,50,2.2,95,0.6,250,14.959,6.393,14.201,0.611
100,100,0.1,50,2.3,95,0.2,250,14.128,10.574,14.083,0.591
100,100,0.1,50,2.3,95,0.25,250,13.552,9.284,13.463,0.5989
100,100,0.1,50,2.3,95,0.3,250,13.37,8.435,13.217,0.601
100,100,0.1,50,2.3,95,0.35,250,13.439,7.84,13.192,0.611
100,100,0.1,50,2.3,95,0.4,250,13.653,7.404,13.307,0.611
100,100,0.1,50,2.3,95,0.45,250,13.968,7.07,13.514,0.611
100,100,0.1,50,2.3,95,0.5,250,14.356,6.809,13.785,0.611
100,100,0.1,50,2.3,95,0.55,250,14.805,6.598,14.102,0.611
100,100,0.1,50,2.3,95,0.6,250,15.253,6.425,14.453,0.611
100,100,0.1,50,2.4,95,0.2,250,14.479,10.767,14.43,0.591
100,100,0.1,50,2.4,95,0.25,250,13.863,9.42,13.762,0.5989
100,100,0.1,50,2.4,95,0.3,250,13.661,8.536,13.489,0.6089
100,100,0.1,50,2.4,95,0.35,250,13.712,7.919,13.449,0.611
100,100,0.1,50,2.4,95,0.4,250,13.924,7.467,13.555,0.611
100,100,0.1,50,2.4,95,0.45,250,14.241,7.122,13.758,0.611
100,100,0.1,50,2.4,95,0.5,250,14.641,6.851,14.029,0.611
100,100,0.1,50,2.4,95,0.55,250,15.075,6.634,14.347,0.611
100,100,0.1,50,2.4,95,0.6,250,15.543,6.456,14.7,0.611
100,100,0.1,50,2.5,95,0.2,250,14.824,10.957,14.772,0.591
100,100,0.1,50,2.5,95,0.25,250,14.17,9.553,14.057,0.599
100,100,0.1,50,2.5,95,0.3,250,13.949,8.635,13.757,0.6089
