T,sigma,S0,beta_1,H_log_1_start,H_log_1_end,H_percent_1,beta_2,H_log_2_start,H_log_2_end,H_percent_2,beta_3,H_log_3_start,H_log_3_end,H_percent_3,beta_4,H_log_4_start,H_log_4_end,H_percent_4
1.0,0.3,2000,0.589,0.16251892949777494,0.040821994520255166,4.0,0.611,0.026343975339601977,0.014098924379501648,1.4,0.689,0.013591953519466972,0.005515180688110111,0.55,0.711,0.0015011261262670914,0.0005001250416822429,0.05
1.0,0.4,2000,0.589,0.16251892949777494,0.05657035148839435,5.5,0.611,0.03562717764315116,0.018673265265621256,1.85,0.689,0.01816397062767118,0.007024614936964466,0.7,0.711,0.0020020026706730793,0.0005001250416822429,0.05
2.0,0.3,2000,0.589,0.16251892949777494,0.059219359659971216,5.75,0.611,0.03822121282019774,0.020202707317519466,2.0,0.689,0.019692633345736045,0.008032171697264267,0.8,0.711,0.002503130218118477,0.0005001250416822429,0.05
2.0,0.4,2000,0.589,0.16251892949777494,0.07850222815495753,7.55,0.611,0.04971559224593286,0.026857454169882642,2.65,0.689,0.026343975339601977,0.010555513939516587,1.05,0.711,0.00350613932928759,0.0005001250416822429,0.05
3.0,0.3,2000,0.589,0.16251892949777494,0.07203320289983162,6.95,0.611,0.04709160753385057,0.025317807984289897,2.5,0.689,0.024805118918971115,0.010555513939516587,1.05,0.711,0.0030045090202987243,0.0005001250416822429,0.05
3.0,0.4,2000,0.589,0.16251892949777494,0.09651090038084373,9.2,0.611,0.062407460128617046,0.03252319170556006,3.2,0.689,0.03200679613508645,0.013591953519466972,1.35,0.711,0.004008021397538822,0.0005001250416822429,0.05
