H,T,S0,K,m,sigma,price_iter,accuracy,price,price_adj,best_beta,H_log,error_percent,Product
85.0,0.2,100.0,100.0,50.0,0.2,4.609588,0.00059,4.609348,4.609511,1.00001,0.162519,0.001684,0.012649
85.0,0.2,100.0,100.0,50.0,0.3,6.322695,0.00087,6.307575,6.322282,0.603889,0.162519,0.00653,0.018974
85.0,0.2,100.0,100.0,50.0,0.4,7.921281,0.00117,7.830215,7.921434,0.581001,0.162519,0.001942,0.025298
85.0,0.2,100.0,100.0,50.0,0.5,9.313434,0.00148,9.071516,9.316131,0.574991,0.162519,0.028961,0.031623
85.0,0.6,100.0,100.0,50.0,0.2,9.276773,0.00112,9.230653,9.275679,0.600001,0.162519,0.011794,0.021909
85.0,0.6,100.0,100.0,50.0,0.3,11.515732,0.00167,11.198182,11.51366,0.587001,0.162519,0.017992,0.032863
85.0,0.6,100.0,100.0,50.0,0.4,13.197698,0.00224,12.432995,13.195503,0.584889,0.162519,0.016631,0.043818
85.0,0.6,100.0,100.0,50.0,0.5,14.495987,0.00283,13.204605,14.491997,0.584889,0.162519,0.027524,0.054772
85.0,1.0,100.0,100.0,50.0,0.2,12.910024,0.00155,12.720521,12.909388,0.584989,0.162519,0.004922,0.028284
85.0,1.0,100.0,100.0,50.0,0.3,14.909727,0.00229,14.143131,14.907461,0.584889,0.162519,0.015199,0.042426
85.0,1.0,100.0,100.0,50.0,0.4,16.302063,0.00305,14.813006,16.300694,0.583001,0.162519,0.008399,0.056569
85.0,1.0,100.0,100.0,50.0,0.5,17.378006,0.00386,15.141059,17.385701,0.580001,0.162519,0.04428,0.070711
85.0,1.4,100.0,100.0,50.0,0.2,16.005324,0.00192,15.612939,16.008234,0.577001,0.162519,0.018179,0.033466
85.0,1.4,100.0,100.0,50.0,0.3,17.56053,0.00282,16.320686,17.563646,0.580901,0.162519,0.017747,0.0502
85.0,1.4,100.0,100.0,50.0,0.4,18.637104,0.00376,16.45968,18.637814,0.582001,0.162519,0.003807,0.066933
85.0,1.4,100.0,100.0,50.0,0.5,19.527966,0.00477,16.422772,19.528241,0.582889,0.162519,0.00141,0.083666
85.0,1.8,100.0,100.0,50.0,0.2,18.764889,0.00226,18.125002,18.762365,0.585001,0.162519,0.013453,0.037947
85.0,1.8,100.0,100.0,50.0,0.3,19.805756,0.00331,18.081719,19.806733,0.582001,0.162519,0.004929,0.056921
85.0,1.8,100.0,100.0,50.0,0.4,20.560415,0.00441,17.735003,20.566903,0.581001,0.162519,0.031555,0.075895
85.0,1.8,100.0,100.0,50.0,0.5,21.26407,0.00562,17.38513,21.279063,0.580001,0.162519,0.070505,0.094868
85.0,2.2,100.0,100.0,50.0,0.2,21.268374,0.00257,20.368743,21.269706,0.581889,0.162519,0.006264,0.041952
85.0,2.2,100.0,100.0,50.0,0.3,21.771973,0.00376,19.576106,21.778715,0.580889,0.162519,0.030965,0.062929
85.0,2.2,100.0,100.0,50.0,0.4,22.225341,0.00502,18.782143,22.235545,0.580889,0.162519,0.045913,0.083905
85.0,2.2,100.0,100.0,50.0,0.5,22.772527,0.00645,18.155817,22.781878,0.581001,0.162519,0.041062,0.104881
85.0,2.6,100.0,100.0,50.0,0.2,23.586868,0.00287,22.409193,23.587402,0.582001,0.162519,0.002264,0.045607
85.0,2.6,100.0,100.0,50.0,0.3,23.550776,0.00418,20.881908,23.554825,0.581889,0.162519,0.017195,0.068411
85.0,2.6,100.0,100.0,50.0,0.4,23.706178,0.0056,19.67265,23.719483,0.580001,0.162519,0.056123,0.091214
85.0,2.6,100.0,100.0,50.0,0.5,24.079724,0.00725,18.797333,24.10975,0.578901,0.162519,0.124694,0.114018
85.0,3.0,100.0,100.0,50.0,0.2,25.752099,0.00315,24.287525,25.751815,0.582889,0.162519,0.001104,0.04899
85.0,3.0,100.0,100.0,50.0,0.3,25.1792,0.00459,22.045235,25.180078,0.582001,0.162519,0.003489,0.073485
85.0,3.0,100.0,100.0,50.0,0.4,25.044942,0.00617,20.447692,25.063236,0.579989,0.162519,0.073043,0.09798
85.0,3.0,100.0,100.0,50.0,0.5,25.284759,0.00806,19.345142,25.305471,0.580001,0.162519,0.081914,0.122474
85.0,3.4,100.0,100.0,50.0,0.2,27.785996,0.00342,26.031605,27.787648,0.581989,0.162519,0.005943,0.052154
85.0,3.4,100.0,100.0,50.0,0.3,26.680552,0.00498,23.095811,26.683785,0.581999,0.162519,0.012117,0.07823
85.0,3.4,100.0,100.0,50.0,0.4,26.284793,0.00672,21.133309,26.295483,0.581001,0.162519,0.04067,0.104307
85.0,3.4,100.0,100.0,50.0,0.5,26.389975,0.00887,19.821437,26.396573,0.581901,0.162519,0.025,0.130384
85.0,3.8,100.0,100.0,50.0,0.2,29.708137,0.00367,27.66131,29.712577,0.581001,0.162519,0.014943,0.055136
85.0,3.8,100.0,100.0,50.0,0.3,28.080212,0.00536,24.054067,28.086266,0.581889,0.162519,0.021561,0.082704
85.0,3.8,100.0,100.0,50.0,0.4,27.409648,0.00726,21.747138,27.435961,0.579889,0.162519,0.096,0.110272
85.0,3.8,100.0,100.0,50.0,0.5,27.408815,0.0097,20.241116,27.402002,0.583001,0.162519,0.024857,0.13784
85.0,4.2,100.0,100.0,50.0,0.2,31.5388,0.00392,29.191432,31.539788,0.582001,0.162519,0.003131,0.057966
85.0,4.2,100.0,100.0,50.0,0.3,29.380493,0.00572,24.934757,29.402302,0.579001,0.162519,0.074229,0.086948
85.0,4.2,100.0,100.0,50.0,0.4,28.489419,0.00782,22.301755,28.498955,0.581889,0.162519,0.033471,0.115931
85.0,4.2,100.0,100.0,50.0,0.5,28.359405,0.01054,20.614717,28.33547,0.584889,0.162519,0.084398,0.144914
