T,sigma,S0,beta_1,H_log_1_start,H_log_1_end,H_percent_1,beta_2,H_log_2_start,H_log_2_end,H_percent_2,beta_3,H_log_3_start,H_log_3_end,H_percent_3,beta_4,H_log_4_start,H_log_4_end,H_percent_4
0.5,0.3,1000,0.589,0.16251892949777494,0.16134315040876293,14.9,0.611,0.01816397062767118,0.01005033585350145,1.0,0.689,0.00904074465214907,0.004008021397538822,0.4,0.711,0.0010005003335835344,0.0010005003335835344,0.1
0.5,0.35,1000,0.589,0.16251892949777494,0.03459144476961909,3.4,0.611,0.021223636451626688,0.012072581234269249,1.2,0.689,0.011060947359424948,0.005012541823544286,0.5,0.711,0.0010005003335835344,0.0010005003335835344,0.1
0.5,0.4,1000,0.589,0.16251892949777494,0.038740828316430595,3.8,0.611,0.024292692569044587,0.01308523954865548,1.3,0.689,0.012072581234269249,0.005012541823544286,0.5,0.711,0.0010005003335835344,0.0010005003335835344,0.1
1.0,0.3,1000,0.589,0.16251892949777494,0.040821994520255166,4.0,0.611,0.026343975339601977,0.014098924379501648,1.4,0.689,0.01308523954865548,0.006018072325563021,0.6,0.711,0.0010005003335835344,0.0010005003335835344,0.1
1.0,0.35,1000,0.589,0.16251892949777494,0.048140375327934984,4.7,0.611,0.03149066709137085,0.017146158834970514,1.7,0.689,0.016129381929883644,0.007024614936964466,0.7,0.711,0.0010005003335835344,0.0010005003335835344,0.1
1.0,0.4,1000,0.589,0.16251892949777494,0.05551270993025883,5.4,0.611,0.03562717764315116,0.019182819416773987,1.9,0.689,0.01816397062767118,0.007024614936964466,0.7,0.711,0.0020020026706730793,0.0010005003335835344,0.1
1.5,0.3,1000,0.589,0.16251892949777494,0.04919024419077178,4.8,0.611,0.03252319170556006,0.017146158834970514,1.7,0.689,0.016129381929883644,0.007024614936964466,0.7,0.711,0.0020020026706730793,0.0010005003335835344,0.1
1.5,0.35,1000,0.589,0.16251892949777494,0.05868899634867961,5.7,0.611,0.03770186718401153,0.020202707317519466,2.0,0.689,0.019182819416773987,0.008032171697264267,0.8,0.711,0.0020020026706730793,0.0010005003335835344,0.1
1.5,0.4,1000,0.589,0.16251892949777494,0.06720874969344999,6.5,0.611,0.04290750101127655,0.022245608947319737,2.2,0.689,0.021223636451626688,0.00904074465214907,0.9,0.711,0.0020020026706730793,0.0010005003335835344,0.1
2.0,0.3,1000,0.589,0.16251892949777494,0.05975000440577405,5.8,0.611,0.03770186718401153,0.020202707317519466,2.0,0.689,0.019182819416773987,0.00904074465214907,0.9,0.711,0.0020020026706730793,0.0010005003335835344,0.1
2.0,0.35,1000,0.589,0.16251892949777494,0.06827884075329438,6.6,0.611,0.04395188752918283,0.02326862693935433,2.3,0.689,0.022245608947319737,0.01005033585350145,1.0,0.711,0.0030045090202987243,0.0010005003335835344,0.1
2.0,0.4,1000,0.589,0.16251892949777494,0.07904320734045285,7.6,0.611,0.05024121643674679,0.027371196796132015,2.7,0.689,0.026343975339601977,0.011060947359424948,1.1,0.711,0.0030045090202987243,0.0010005003335835344,0.1
2.5,0.3,1000,0.589,0.16251892949777494,0.06720874969344999,6.5,0.611,0.04186420409869887,0.02326862693935433,2.3,0.689,0.022245608947319737,0.00904074465214907,0.9,0.711,0.0030045090202987243,0.0010005003335835344,0.1
2.5,0.35,1000,0.589,0.16251892949777494,0.0779615414697118,7.5,0.611,0.04919024419077178,0.026343975339601977,2.6,0.689,0.025317807984289897,0.011060947359424948,1.1,0.711,0.0030045090202987243,0.0010005003335835344,0.1
2.5,0.4,1000,0.589,0.16251892949777494,0.08773891430800675,8.4,0.611,0.05551270993025883,0.030459207484708574,3.0,0.689,0.029428810690812168,0.012072581234269249,1.2,0.711,0.0030045090202987243,0.0010005003335835344,0.1
