H,T,S0,K,m,sigma,price_iter,accuracy,best_beta,Average Error,price,price_adj,H_log,error_percent,Product,q
170,1.4,200,200,50,0.35,36.26457,0.00889,0.5889,0.1084,32.85361,36.30388,0.16251893,0.10839781,0.0585662,0
170,1.4,200,200,50,0.4,37.2569,0.01018,0.5889,0.16141,32.91936,37.31704,0.16251893,0.16141976,0.0669328,0
170,1.4,200,200,50,0.45,38.18597,0.01152,0.5889,0.1513,32.90443,38.24375,0.16251893,0.15131212,0.0752994,0
170,1.4,200,200,50,0.5,39.04477,0.01291,0.5889,0.18273,32.84554,39.11612,0.16251893,0.18273894,0.083666,0
170,1.4,200,200,50,0.55,39.87255,0.01439,0.5889,0.20297,32.76347,39.95348,0.16251893,0.20297172,0.0920326,0
170,2.0,200,200,50,0.2,40.07145,0.00654,0.5889,0.06949,38.55122,40.0993,0.16251893,0.06950085,0.04,0
170,2.0,200,200,50,0.25,40.96037,0.00805,0.5889,0.06409,38.2471,40.98662,0.16251893,0.06408634,0.05,0
170,2.0,200,200,50,0.3,41.62076,0.00957,0.5889,0.13941,37.71267,41.67878,0.16251893,0.13940159,0.06,0
170,2.0,200,200,50,0.35,42.26378,0.01114,0.5889,0.09156,37.12735,42.30248,0.16251893,0.09156777,0.07,0
170,2.0,200,200,50,0.4,42.84013,0.01277,0.5889,0.17729,36.56326,42.91608,0.16251893,0.17728704,0.08,0
170,2.0,200,200,50,0.45,43.45775,0.0145,0.5889,0.19786,36.0454,43.54374,0.16251893,0.19787035,0.09,0
170,2.0,200,200,50,0.5,44.07088,0.01634,0.5889,0.27919,35.57927,44.19392,0.16251893,0.27918662,0.1,0
170,2.0,200,200,50,0.55,44.73171,0.01834,0.5889,0.30507,35.16279,44.86817,0.16251893,0.30506323,0.11,0
170,2.6,200,200,50,0.2,47.16007,0.00776,0.5889,0.07689,44.81839,47.19633,0.16251893,0.07688708,0.04560702,0
170,2.6,200,200,50,0.25,47.12427,0.00954,0.5889,0.07807,43.25406,47.16106,0.16251893,0.07807017,0.05700877,0
170,2.6,200,200,50,0.3,47.11753,0.01133,0.5889,0.09002,41.76382,47.15995,0.16251893,0.09003019,0.06841053,0
170,2.6,200,200,50,0.35,47.18217,0.01319,0.5889,0.19655,40.45883,47.27491,0.16251893,0.1965573,0.07981228,0
170,2.6,200,200,50,0.4,47.42352,0.01517,0.5889,0.19548,39.3453,47.51622,0.16251893,0.19547263,0.09121403,0
170,2.6,200,200,50,0.45,47.74961,0.0173,0.5889,0.25445,38.39988,47.87111,0.16251893,0.25445234,0.10261579,0
170,2.6,200,200,50,0.5,48.2279,0.01968,0.5889,0.19453,37.59467,48.32172,0.16251893,0.1945347,0.11401754,0
170,2.6,200,200,50,0.55,48.74757,0.02227,0.5889,0.21217,36.90451,48.85099,0.16251893,0.21215416,0.1254193,0
170,3.2,200,200,50,0.2,53.55685,0.00889,0.5889,0.07791,50.34992,53.59858,0.16251893,0.0779172,0.05059644,0
170,3.2,200,200,50,0.25,52.59874,0.01092,0.5889,0.06305,47.55408,52.63191,0.16251893,0.06306235,0.06324555,0
170,3.2,200,200,50,0.3,51.87981,0.01296,0.5889,0.14432,45.16635,51.95468,0.16251893,0.14431433,0.07589466,0
170,3.2,200,200,50,0.35,51.48022,0.01512,0.5889,0.20336,43.20477,51.58491,0.16251893,0.20335966,0.08854377,0
170,3.2,200,200,50,0.4,51.35715,0.01745,0.5889,0.23368,41.60086,51.47716,0.16251893,0.2336773,0.10119289,0
170,3.2,200,200,50,0.45,51.44116,0.02004,0.5889,0.26824,40.28053,51.57915,0.16251893,0.26824823,0.113842,0
170,3.2,200,200,50,0.5,51.731,0.02295,0.5889,0.22249,39.18234,51.84609,0.16251893,0.22247782,0.12649111,0
170,3.2,200,200,50,0.55,52.12925,0.02624,0.5889,0.21734,38.25875,52.24255,0.16251893,0.21734439,0.13914022,0
170,3.8,200,200,50,0.2,59.42811,0.00995,0.5889,0.05812,55.32262,59.46265,0.16251893,0.05812064,0.0551362,0
170,3.8,200,200,50,0.25,57.50496,0.0122,0.5889,0.12778,51.33887,57.57844,0.16251893,0.12778028,0.06892024,0
170,3.8,200,200,50,0.3,56.16165,0.01451,0.5889,0.15442,48.10813,56.24838,0.16251893,0.15442922,0.08270429,0
170,3.8,200,200,50,0.35,55.2841,0.01697,0.5889,0.24065,45.54224,55.41714,0.16251893,0.24064785,0.09648834,0
170,3.8,200,200,50,0.4,54.83192,0.01969,0.5889,0.27076,43.49428,54.98038,0.16251893,0.2707547,0.11027239,0
170,3.8,200,200,50,0.45,54.72974,0.02275,0.5889,0.21181,41.83906,54.84566,0.16251893,0.2118044,0.12405644,0
170,3.8,200,200,50,0.5,54.80138,0.02624,0.5889,0.25564,40.48223,54.94148,0.16251893,0.2556505,0.13784049,0
170,3.8,200,200,50,0.55,55.1465,0.03035,0.5889,0.12328,39.35473,55.21449,0.16251893,0.12328978,0.15162454,0
170,4.4,200,200,50,0.2,64.8277,0.01094,0.5889,0.08937,59.84563,64.88564,0.16251893,0.08937538,0.05932959,0
