S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent
110,100,0.1,50,4.6,115,0.6,250,0.006171182955633752,0.0005,0.0088,-4.5455
110,100,0.1,50,5.0,115,0.2,250,0.02459351242235019,0.0071,0.027,-4.5455
110,100,0.1,50,5.0,115,0.3,250,0.01592243227907386,0.003,0.0187,-4.5455
110,100,0.1,50,5.0,115,0.4,250,0.010863627294361177,0.0014,0.0134,-4.5455
110,100,0.1,50,5.0,115,0.5,250,0.007669479791853437,0.0007,0.0102,-4.5455
110,100,0.1,50,5.0,115,0.6,250,0.005674434214865379,0.0004,0.0081,-4.5455
110,100,0.1,50,0.2,116,0.2,250,2.360860494744089,1.9153,2.38,-5.4545
110,100,0.1,50,0.2,116,0.3,250,1.060595068160744,0.7542,1.0769,-5.4545
110,100,0.1,50,0.2,116,0.4,250,0.5691743895323663,0.3559,0.5803,-5.4545
110,100,0.1,50,0.2,116,0.5,250,0.34583510820894336,0.1922,0.3554,-5.4545
110,100,0.1,50,0.2,116,0.6,250,0.22917722591016776,0.1144,0.2386,-5.4545
110,100,0.1,50,0.6,116,0.2,250,0.7033575457906073,0.4659,0.7169,-5.4545
110,100,0.1,50,0.6,116,0.3,250,0.29815537296100986,0.1618,0.3089,-5.4545
110,100,0.1,50,0.6,116,0.4,250,0.16055862083743525,0.0721,0.1683,-5.4545
110,100,0.1,50,0.6,116,0.5,250,0.09981100507638584,0.0377,0.1064,-5.4545
110,100,0.1,50,0.6,116,0.6,250,0.06805628113020701,0.022,0.0742,-5.4545
110,100,0.1,50,1.0,116,0.2,250,0.37081261101132484,0.2159,0.3808,-5.4545
110,100,0.1,50,1.0,116,0.3,250,0.16233067636869644,0.0742,0.1699,-5.4545
110,100,0.1,50,1.0,116,0.4,250,0.08890572111239886,0.0328,0.0957,-5.4545
110,100,0.1,50,1.0,116,0.5,250,0.05672385673221552,0.017,0.0624,-5.4545
110,100,0.1,50,1.0,116,0.6,250,0.03972493407827284,0.0099,0.0447,-5.4545
110,100,0.1,50,1.4,116,0.2,250,0.23625970159828444,0.125,0.2451,-5.4545
110,100,0.1,50,1.4,116,0.3,250,0.1071749488034472,0.0434,0.1143,-5.4545
110,100,0.1,50,1.4,116,0.4,250,0.06100610903419879,0.0192,0.0664,-5.4545
110,100,0.1,50,1.4,116,0.5,250,0.03945006688522267,0.0099,0.0443,-5.4545
110,100,0.1,50,1.4,116,0.6,250,0.02808057683127751,0.0057,0.0324,-5.4545
110,100,0.1,50,1.8,116,0.2,250,0.16665662882367627,0.0812,0.1739,-5.4545
110,100,0.1,50,1.8,116,0.3,250,0.07861845268420174,0.0286,0.0847,-5.4545
110,100,0.1,50,1.8,116,0.4,250,0.04516636847692373,0.0127,0.0506,-5.4545
110,100,0.1,50,1.8,116,0.5,250,0.030077503516665736,0.0066,0.0345,-5.4545
110,100,0.1,50,1.8,116,0.6,250,0.021740021795631247,0.0038,0.0255,-5.4545
110,100,0.1,50,2.2,116,0.2,250,0.12360707136875086,0.0565,0.1307,-5.4545
110,100,0.1,50,2.2,116,0.3,250,0.06115223178097594,0.0203,0.0665,-5.4545
110,100,0.1,50,2.2,116,0.4,250,0.03603683621831685,0.009,0.0407,-5.4545
110,100,0.1,50,2.2,116,0.5,250,0.024197285739893867,0.0047,0.0282,-5.4545
110,100,0.1,50,2.2,116,0.6,250,0.017382757363696932,0.0027,0.0212,-5.4545
110,100,0.1,50,2.6,116,0.2,250,0.09619260388530719,0.0413,0.1022,-5.4545
110,100,0.1,50,2.6,116,0.3,250,0.049217075697731504,0.0151,0.0542,-5.4545
110,100,0.1,50,2.6,116,0.4,250,0.029349826064163982,0.0068,0.034,-5.4545
110,100,0.1,50,2.6,116,0.5,250,0.020015174625239676,0.0035,0.0239,-5.4545
110,100,0.1,50,2.6,116,0.6,250,0.01448235303304266,0.002,0.0181,-5.4545
110,100,0.1,50,3.0,116,0.2,250,0.07696324168909754,0.0311,0.0821,-5.4545
110,100,0.1,50,3.0,116,0.3,250,0.04112142126158393,0.0117,0.0454,-5.4545
110,100,0.1,50,3.0,116,0.4,250,0.02498446148264104,0.0053,0.029,-5.4545
110,100,0.1,50,3.0,116,0.5,250,0.017069624173801673,0.0027,0.0207,-5.4545
110,100,0.1,50,3.0,116,0.6,250,0.012386600791091905,0.0015,0.0158,-5.4545
110,100,0.1,50,3.4,116,0.2,250,0.06253743389878812,0.0241,0.0673,-5.4545
110,100,0.1,50,3.4,116,0.3,250,0.0348329315700067,0.0093,0.0387,-5.4545
110,100,0.1,50,3.4,116,0.4,250,0.021685909193469396,0.0042,0.0253,-5.4545
110,100,0.1,50,3.4,116,0.5,250,0.014730520752797774,0.0022,0.0182,-5.4545
110,100,0.1,50,3.4,116,0.6,250,0.010633984014844859,0.0012,0.014,-5.4545
110,100,0.1,50,3.8,116,0.2,250,0.051758996509453474,0.0191,0.0561,-5.4545
110,100,0.1,50,3.8,116,0.3,250,0.02977013849205799,0.0075,0.0336,-5.4545
110,100,0.1,50,3.8,116,0.4,250,0.018697275716320863,0.0034,0.0223,-5.4545
110,100,0.1,50,3.8,116,0.5,250,0.012701634004128002,0.0018,0.0162,-5.4545
110,100,0.1,50,3.8,116,0.6,250,0.009289640812058853,0.001,0.0126,-5.4545
110,100,0.1,50,4.2,116,0.2,250,0.04359533453585416,0.0153,0.0473,-5.4545
110,100,0.1,50,4.2,116,0.3,250,0.025737810522355877,0.0062,0.0294,-5.4545
110,100,0.1,50,4.2,116,0.4,250,0.016735449064838336,0.0028,0.0199,-5.4545
110,100,0.1,50,4.2,116,0.5,250,0.011571377795255636,0.0015,0.0146,-5.4545
110,100,0.1,50,4.2,116,0.6,250,0.008369496565404573,0.0008,0.0114,-5.4545
110,100,0.1,50,4.6,116,0.2,250,0.03681050011523787,0.0125,0.0404,-5.4545
110,100,0.1,50,4.6,116,0.3,250,0.022711533618337266,0.0051,0.026,-5.4545
110,100,0.1,50,4.6,116,0.4,250,0.014747096444790548,0.0024,0.0179,-5.4545
110,100,0.1,50,4.6,116,0.5,250,0.010231470259871518,0.0012,0.0133,-5.4545
110,100,0.1,50,4.6,116,0.6,250,0.007484263293368477,0.0007,0.0104,-5.4545
110,100,0.1,50,5.0,116,0.2,250,0.0314967430652437,0.0102,0.0347,-5.4545
110,100,0.1,50,5.0,116,0.3,250,0.020023333145524964,0.0043,0.0232,-5.4545
110,100,0.1,50,5.0,116,0.4,250,0.01317915579865358,0.002,0.0162,-5.4545
110,100,0.1,50,5.0,116,0.5,250,0.009212294363919777,0.001,0.0121,-5.4545
110,100,0.1,50,5.0,116,0.6,250,0.006652690910330915,0.0006,0.0095,-5.4545
