S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,H_log,best_beta,error_percent,q
300,300,0.1,50,4,264.0,0.3,250,77.6989,77.6777,77.6777,12.0,0.1278,0.5889,0.0273,0
300,300,0.1,50,4,264.0,0.4,250,75.1375,75.0838,75.0838,12.0,0.1278,0.5889,0.0715,0
300,300,0.1,50,4,264.0,0.5,250,75.1483,74.8522,74.8522,12.0,0.1278,0.59,0.394,0
300,300,0.1,50,5,264.0,0.3,250,85.8953,85.9631,85.9631,12.0,0.1278,0.5889,0.0789,0
300,300,0.1,50,5,264.0,0.4,250,81.9574,81.8442,81.8442,12.0,0.1278,0.5889,0.1381,0
300,300,0.1,50,5,264.0,0.5,250,81.6197,80.8892,80.8892,12.0,0.1278,0.599,0.895,0
300,300,0.1,50,4,265.0,0.3,250,76.5624,76.6405,76.6405,11.6667,0.1241,0.5889,0.102,0
300,300,0.1,50,4,265.0,0.4,250,74.2413,74.0489,74.0489,11.6667,0.1241,0.5889,0.2592,0
300,300,0.1,50,4,265.0,0.5,250,74.3473,73.8423,73.8423,11.6667,0.1241,0.5989,0.6792,0
300,300,0.1,50,5,265.0,0.3,250,84.7993,84.8269,84.8269,11.6667,0.1241,0.5889,0.0325,0
300,300,0.1,50,5,265.0,0.4,250,81.039,80.7447,80.7447,11.6667,0.1241,0.5909,0.3632,0
300,300,0.1,50,5,265.0,0.5,250,80.5422,79.8369,79.8369,11.6667,0.1241,0.5989,0.8757,0
300,300,0.1,50,4,266.0,0.3,250,75.5206,75.5861,75.5861,11.3333,0.1203,0.5889,0.0867,0
300,300,0.1,50,4,266.0,0.4,250,73.0175,73.0036,73.0036,11.3333,0.1203,0.5889,0.019,0
300,300,0.1,50,4,266.0,0.5,250,73.4589,72.8254,72.8254,11.3333,0.1203,0.599,0.8624,0
300,300,0.1,50,5,266.0,0.3,250,83.7206,83.6738,83.6738,11.3333,0.1203,0.5889,0.0559,0
300,300,0.1,50,5,266.0,0.4,250,79.8737,79.6353,79.6353,11.3333,0.1203,0.589,0.2985,0
300,300,0.1,50,5,266.0,0.5,250,79.6194,78.7783,78.7783,11.3333,0.1203,0.601,1.0564,0
300,300,0.1,50,4,267.0,0.3,250,74.5165,74.5144,74.5144,11.0,0.1165,0.5889,0.0028,0
300,300,0.1,50,4,267.0,0.4,250,72.1448,71.9479,71.9479,11.0,0.1165,0.5889,0.2729,0
300,300,0.1,50,4,267.0,0.5,250,72.3337,71.8018,71.8018,11.0,0.1165,0.5989,0.7353,0
300,300,0.1,50,5,267.0,0.3,250,82.4795,82.5039,82.5039,11.0,0.1165,0.5889,0.0296,0
300,300,0.1,50,5,267.0,0.4,250,78.7559,78.5162,78.5162,11.0,0.1165,0.5889,0.3044,0
300,300,0.1,50,5,267.0,0.5,250,78.6707,77.7135,77.7135,11.0,0.1165,0.601,1.2167,0
300,300,0.1,50,4,268.0,0.3,250,73.3917,73.4253,73.4253,10.6667,0.1128,0.5889,0.0458,0
300,300,0.1,50,4,268.0,0.4,250,71.1313,70.8816,70.8816,10.6667,0.1128,0.59,0.351,0
300,300,0.1,50,4,268.0,0.5,250,71.3541,70.7712,70.7712,10.6667,0.1128,0.5989,0.8169,0
300,300,0.1,50,5,268.0,0.3,250,81.3234,81.317,81.317,10.6667,0.1128,0.5889,0.0079,0
300,300,0.1,50,5,268.0,0.4,250,77.9567,77.3871,77.3871,10.6667,0.1128,0.5989,0.7307,0
300,300,0.1,50,5,268.0,0.5,250,77.6232,76.6424,76.6424,10.6667,0.1128,0.601,1.2635,0
300,300,0.1,50,4,269.0,0.3,250,72.3029,72.3187,72.3187,10.3333,0.1091,0.5889,0.0219,0
300,300,0.1,50,4,269.0,0.4,250,70.0182,69.8048,69.8048,10.3333,0.1091,0.589,0.3048,0
300,300,0.1,50,4,269.0,0.5,250,70.5525,69.7338,69.7338,10.3333,0.1091,0.601,1.1604,0
300,300,0.1,50,5,269.0,0.3,250,80.2691,80.1129,80.1129,10.3333,0.1091,0.5889,0.1946,0
300,300,0.1,50,5,269.0,0.4,250,76.6875,76.2482,76.2482,10.3333,0.1091,0.591,0.5728,0
300,300,0.1,50,5,269.0,0.5,250,76.5541,75.5651,75.5651,10.3333,0.1091,0.601,1.2919,0
300,300,0.1,50,4,270.0,0.3,250,71.1567,71.1944,71.1944,10.0,0.1054,0.5889,0.053,0
300,300,0.1,50,4,270.0,0.4,250,69.0452,68.7175,68.7175,10.0,0.1054,0.591,0.4746,0
300,300,0.1,50,4,270.0,0.5,250,69.419,68.6896,68.6896,10.0,0.1054,0.6009,1.0507,0
300,300,0.1,50,5,270.0,0.3,250,78.9834,78.8915,78.8915,10.0,0.1054,0.5889,0.1164,0
300,300,0.1,50,5,270.0,0.4,250,75.6216,75.0995,75.0995,10.0,0.1054,0.5989,0.6904,0
300,300,0.1,50,5,270.0,0.5,250,75.6295,74.4816,74.4816,10.0,0.1054,0.6089,1.5178,0
300,300,0.1,50,4,271.0,0.3,250,70.1163,70.0523,70.0523,9.6667,0.1017,0.5889,0.0913,0
300,300,0.1,50,4,271.0,0.4,250,67.9724,67.6196,67.6196,9.6667,0.1017,0.591,0.519,0
300,300,0.1,50,4,271.0,0.5,250,68.4267,67.6386,67.6386,9.6667,0.1017,0.601,1.1517,0
300,300,0.1,50,5,271.0,0.3,250,77.7853,77.6528,77.6528,9.6667,0.1017,0.5889,0.1703,0
300,300,0.1,50,5,271.0,0.4,250,74.4214,73.9408,73.9408,9.6667,0.1017,0.591,0.6458,0
300,300,0.1,50,5,271.0,0.5,250,74.6757,73.3919,73.3919,9.6667,0.1017,0.61,1.7192,0
300,300,0.1,50,4,272.0,0.3,250,68.9415,68.8923,68.8923,9.3333,0.098,0.5889,0.0714,0
300,300,0.1,50,4,272.0,0.4,250,66.9389,66.5112,66.5112,9.3333,0.098,0.5989,0.6389,0
300,300,0.1,50,4,272.0,0.5,250,67.6273,66.5807,66.5807,9.3333,0.098,0.6089,1.5476,0
300,300,0.1,50,5,272.0,0.3,250,76.5035,76.3967,76.3967,9.3333,0.098,0.5889,0.1396,0
300,300,0.1,50,5,272.0,0.4,250,73.4752,72.7723,72.7723,9.3333,0.098,0.6,0.9566,0
300,300,0.1,50,5,272.0,0.5,250,73.6568,72.2959,72.2959,9.3333,0.098,0.611,1.8476,0
300,300,0.1,50,4,273.0,0.3,250,67.7861,67.7143,67.7143,9.0,0.0943,0.5889,0.1059,0
300,300,0.1,50,4,273.0,0.4,250,65.8568,65.3922,65.3922,9.0,0.0943,0.5989,0.7055,0
300,300,0.1,50,4,273.0,0.5,250,66.4977,65.5161,65.5161,9.0,0.0943,0.6089,1.4761,0
300,300,0.1,50,5,273.0,0.3,250,75.2698,75.1229,75.1229,9.0,0.0943,0.5889,0.1952,0
300,300,0.1,50,5,273.0,0.4,250,72.4758,71.5938,71.5938,9.0,0.0943,0.601,1.217,0
300,300,0.1,50,5,273.0,0.5,250,72.8301,71.1938,71.1938,9.0,0.0943,0.611,2.2467,0
300,300,0.1,50,4,274.0,0.3,250,66.6037,66.5181,66.5181,8.6667,0.0907,0.5889,0.1285,0
300,300,0.1,50,4,274.0,0.4,250,64.8389,64.2626,64.2626,8.6667,0.0907,0.599,0.8888,0
300,300,0.1,50,4,274.0,0.5,250,65.618,64.4447,64.4447,8.6667,0.0907,0.6109,1.7881,0
300,300,0.1,50,5,274.0,0.3,250,74.0955,73.8315,73.8315,8.6667,0.0907,0.59,0.3563,0
300,300,0.1,50,5,274.0,0.4,250,71.3112,70.4054,70.4054,8.6667,0.0907,0.601,1.2702,0
300,300,0.1,50,5,274.0,0.5,250,71.8647,70.0855,70.0855,8.6667,0.0907,0.611,2.4758,0
300,300,0.1,50,4,275.0,0.3,250,65.3834,65.3036,65.3036,8.3333,0.087,0.5889,0.122,0
300,300,0.1,50,4,275.0,0.4,250,63.7293,63.1225,63.1225,8.3333,0.087,0.5999,0.9522,0
300,300,0.1,50,4,275.0,0.5,250,64.6841,63.3664,63.3664,8.3333,0.087,0.611,2.0371,0
300,300,0.1,50,5,275.0,0.3,250,72.8767,72.5222,72.5222,8.3333,0.087,0.591,0.4864,0
300,300,0.1,50,5,275.0,0.4,250,70.3113,69.2071,69.2071,8.3333,0.087,0.609,1.5704,0
300,300,0.1,50,5,275.0,0.5,250,70.7297,68.971,68.971,8.3333,0.087,0.611,2.4865,0
300,300,0.1,50,4,276.0,0.3,250,64.2229,64.0707,64.0707,8.0,0.0834,0.5889,0.237,0
300,300,0.1,50,4,276.0,0.4,250,62.6808,61.9717,61.9717,8.0,0.0834,0.601,1.1313,0
300,300,0.1,50,4,276.0,0.5,250,63.7695,62.2814,62.2814,8.0,0.0834,0.611,2.3336,0
300,300,0.1,50,5,276.0,0.3,250,71.6308,71.1951,71.1951,8.0,0.0834,0.5989,0.6083,0
300,300,0.1,50,5,276.0,0.4,250,69.1395,67.9989,67.9989,8.0,0.0834,0.6099,1.6497,0
300,300,0.1,50,5,276.0,0.5,250,69.6563,67.8504,67.8504,8.0,0.0834,0.611,2.5926,0
300,300,0.1,50,4,277.0,0.3,250,63.0843,62.8193,62.8193,7.6667,0.0798,0.591,0.4201,0
300,300,0.1,50,4,277.0,0.4,250,61.6334,60.8103,60.8103,7.6667,0.0798,0.6089,1.3355,0
300,300,0.1,50,4,277.0,0.5,250,62.6888,61.1897,61.1897,7.6667,0.0798,0.611,2.3913,0
300,300,0.1,50,5,277.0,0.3,250,70.2452,69.8499,69.8499,7.6667,0.0798,0.591,0.5627,0
300,300,0.1,50,5,277.0,0.4,250,68.0373,66.7807,66.7807,7.6667,0.0798,0.611,1.8469,0
300,300,0.1,50,5,277.0,0.5,250,68.8522,66.7236,66.7236,7.6667,0.0798,0.611,3.0915,0
300,300,0.1,50,4,278.0,0.3,250,61.8244,61.5492,61.5492,7.3333,0.0762,0.591,0.4451,0
300,300,0.1,50,4,278.0,0.4,250,60.5164,59.6382,59.6382,7.3333,0.0762,0.6089,1.4512,0
300,300,0.1,50,4,278.0,0.5,250,61.594,60.0912,60.0912,7.3333,0.0762,0.611,2.4398,0
300,300,0.1,50,5,278.0,0.3,250,69.0697,68.4867,68.4867,7.3333,0.0762,0.5989,0.8441,0
300,300,0.1,50,5,278.0,0.4,250,66.818,65.5526,65.5526,7.3333,0.0762,0.611,1.8938,0
