S0,K,r,m,T,H,sigma,trading_days,exact_price,best_beta
100,100,0.1,5,5.0,89,0.35,250,39.5477,0.691
100,100,0.1,5,2.0,89,0.25,250,21.3073,0.611
100,100,0.1,5,4.5,89,0.5,250,41.7077,0.71
100,100,0.1,5,3.0,89,0.2,250,26.6208,0.611
100,100,0.1,25,3.4,89,0.4,250,24.7327,0.5889
100,100,0.1,25,1.3,89,0.6,250,18.6868,0.6089
100,100,0.1,25,2.1,89,0.2,250,19.2187,0.5889
100,100,0.1,25,0.2,89,0.3,250,6.2096,0.5889
100,100,0.1,25,0.9,89,0.35,250,13.6736,0.5889
100,100,0.1,25,1.7,89,0.25,250,17.2944,0.5889
100,100,0.1,25,3.2,89,0.45,250,24.5378,0.6009
100,100,0.1,50,0.9,89,0.6,250,15.05,0.5889
100,100,0.1,50,0.7,89,0.3,250,11.3378,0.6
100,100,0.1,50,1.2,89,0.55,250,16.1574,0.59
100,100,0.1,50,4.8,89,0.25,250,28.27,0.5889
100,100,0.1,50,3.6,89,0.5,250,23.2173,0.5989
100,100,0.1,50,0.4,89,0.35,250,9.4033,0.591
100,100,0.1,50,3.1,89,0.45,250,21.8562,0.591
100,100,0.1,5,4.0,90,0.3,250,33.3496,0.6889
100,100,0.1,5,2.9,90,0.6,250,36.1913,0.7089
100,100,0.1,5,0.9,90,0.5,250,18.4467,0.6889
100,100,0.1,5,1.4,90,0.4,250,20.4624,0.6889
100,100,0.1,5,1.7,90,0.25,250,18.9406,0.611
100,100,0.1,5,0.3,90,0.55,250,11.7119,0.611
100,100,0.1,5,4.8,90,0.2,250,35.9936,0.611
100,100,0.1,25,3.0,90,0.45,250,23.1611,0.611
100,100,0.1,25,2.4,90,0.3,250,19.9791,0.5889
100,100,0.1,25,2.6,90,0.4,250,21.242,0.591
100,100,0.1,25,0.8,90,0.2,250,10.5365,0.5889
100,100,0.1,25,3.6,90,0.55,250,26.0723,0.611
100,100,0.1,25,0.2,90,0.6,250,9.3199,0.5889
100,100,0.1,25,3.4,90,0.5,250,24.9193,0.611
100,100,0.1,50,2.4,90,0.45,250,18.9283,0.59
100,100,0.1,50,2.5,90,0.2,250,20.0786,0.591
100,100,0.1,50,1.0,90,0.3,250,12.7472,0.5889
100,100,0.1,50,2.3,90,0.6,250,19.4932,0.5989
100,100,0.1,50,3.7,90,0.25,250,23.7305,0.5889
100,100,0.1,50,3.6,90,0.35,250,22.225,0.589
100,100,0.1,50,1.6,90,0.4,250,16.0215,0.5889
100,100,0.1,5,0.5,91,0.3,250,10.0401,0.5889
100,100,0.1,5,1.4,91,0.35,250,18.8459,0.611
100,100,0.1,5,4.1,91,0.6,250,42.3474,0.711
100,100,0.1,5,3.6,91,0.4,250,33.359,0.691
100,100,0.1,5,4.8,91,0.25,250,35.977,0.6889
100,100,0.1,5,3.4,91,0.55,250,36.9391,0.7089
100,100,0.1,5,0.3,91,0.5,250,10.7539,0.611
100,100,0.1,25,1.5,91,0.5,250,17.1027,0.601
100,100,0.1,25,3.8,91,0.2,250,25.7098,0.5889
100,100,0.1,25,0.7,91,0.4,250,11.8515,0.5909
100,100,0.1,25,2.1,91,0.3,250,17.9553,0.5889
100,100,0.1,25,4.4,91,0.55,250,27.6121,0.611
100,100,0.1,25,2.6,91,0.35,250,20.2135,0.601
100,100,0.1,25,3.1,91,0.25,250,21.9925,0.5889
100,100,0.1,50,1.6,91,0.5,250,15.77,0.591
100,100,0.1,50,3.8,91,0.3,250,22.0422,0.5889
100,100,0.1,50,2.2,91,0.45,250,17.4549,0.5989
100,100,0.1,50,3.1,91,0.55,250,20.5294,0.611
100,100,0.1,50,0.2,91,0.6,250,8.5644,0.5889
100,100,0.1,50,3.6,91,0.25,250,22.2692,0.5889
100,100,0.1,50,3.4,91,0.35,250,20.6291,0.5909
100,100,0.1,5,2.1,92,0.45,250,25.9335,0.691
100,100,0.1,5,2.4,92,0.4,250,26.4775,0.691
100,100,0.1,5,0.9,92,0.5,250,17.7139,0.6889
100,100,0.1,5,4.1,92,0.6,250,41.9168,0.711
100,100,0.1,5,2.9,92,0.35,250,27.8977,0.6889
100,100,0.1,5,1.3,92,0.3,250,16.6572,0.6889
100,100,0.1,5,3.5,92,0.2,250,28.3113,0.6889
100,100,0.1,25,3.8,92,0.25,250,23.6337,0.591
100,100,0.1,25,3.4,92,0.3,250,21.9031,0.599
100,100,0.1,25,3.9,92,0.4,250,23.9195,0.611
100,100,0.1,25,1.1,92,0.6,250,15.4121,0.6089
100,100,0.1,25,3.6,92,0.35,250,22.5745,0.6099
100,100,0.1,25,2.6,92,0.55,250,21.3072,0.611
100,100,0.1,25,4.3,92,0.45,250,25.2929,0.611
100,100,0.1,50,2.4,92,0.35,250,16.7564,0.5889
100,100,0.1,50,1.7,92,0.55,250,15.521,0.5989
100,100,0.1,50,2.5,92,0.5,250,17.5439,0.5989
100,100,0.1,50,4.5,92,0.6,250,23.0781,0.611
100,100,0.1,50,3.3,92,0.4,250,19.3979,0.611
100,100,0.1,50,3.8,92,0.3,250,20.9622,0.591
100,100,0.1,50,4.4,92,0.45,250,21.8446,0.611
100,100,0.1,5,1.6,93,0.45,250,22.0263,0.6889
100,100,0.1,5,0.4,93,0.55,250,12.4788,0.6889
100,100,0.1,5,0.2,93,0.35,250,6.6676,0.591
100,100,0.1,5,2.1,93,0.5,250,27.0261,0.711
100,100,0.1,5,1.9,93,0.6,250,28.3283,0.711
100,100,0.1,5,3.5,93,0.4,250,32.1083,0.711
100,100,0.1,5,4.4,93,0.3,250,33.8687,0.7089
100,100,0.1,25,0.3,93,0.6,250,9.1377,0.5889
100,100,0.1,25,3.5,93,0.2,250,22.4672,0.591
100,100,0.1,25,3.9,93,0.45,250,23.4518,0.611
100,100,0.1,25,4.7,93,0.35,250,25.0116,0.611
100,100,0.1,25,1.9,93,0.4,250,16.1854,0.601
100,100,0.1,25,4.4,93,0.5,250,25.2569,0.611
100,100,0.1,25,2.1,93,0.25,250,16.3476,0.601
100,100,0.1,50,3.2,93,0.45,250,18.2338,0.611
100,100,0.1,50,2.9,93,0.4,250,17.1915,0.6
100,100,0.1,50,5.0,93,0.25,250,23.7338,0.5989
100,100,0.1,50,3.4,93,0.35,250,18.4705,0.601
100,100,0.1,50,4.0,93,0.6,250,21.2906,0.611
100,100,0.1,50,0.2,93,0.3,250,5.5809,0.5889
100,100,0.1,50,3.3,93,0.5,250,18.6223,0.611
100,100,0.1,5,0.3,94,0.35,250,7.8705,0.6089
100,100,0.1,5,1.4,94,0.55,250,22.6246,0.701
100,100,0.1,5,1.2,94,0.6,250,22.141,0.7089
100,100,0.1,5,3.7,94,0.2,250,28.4648,0.6899
100,100,0.1,5,4.4,94,0.4,250,36.1162,0.711
100,100,0.1,5,3.8,94,0.45,250,34.8378,0.711
100,100,0.1,5,1.0,94,0.5,250,18.0193,0.6989
100,100,0.1,25,3.7,94,0.3,250,20.9054,0.611
100,100,0.1,25,4.2,94,0.45,250,23.4278,0.6889
100,100,0.1,25,4.9,94,0.25,250,24.9781,0.611
100,100,0.1,25,4.4,94,0.5,250,24.4874,0.6889
100,100,0.1,25,2.7,94,0.4,250,18.3098,0.611
100,100,0.1,25,2.2,94,0.6,250,18.9196,0.611
100,100,0.1,25,1.7,94,0.55,250,16.4238,0.611
100,100,0.1,50,3.6,94,0.6,250,19.024,0.611
100,100,0.1,50,3.4,94,0.3,250,17.5358,0.601
100,100,0.1,50,2.3,94,0.25,250,14.6691,0.5889
100,100,0.1,50,1.7,94,0.4,250,12.8219,0.5989
100,100,0.1,50,0.4,94,0.5,250,8.0306,0.5889
100,100,0.1,50,1.0,94,0.55,250,11.2621,0.5989
100,100,0.1,50,0.9,94,0.2,250,9.2543,0.5889
100,100,0.1,5,3.6,95,0.25,250,27.982,0.7099
100,100,0.1,5,1.2,95,0.35,250,15.8993,0.69
100,100,0.1,5,2.7,95,0.2,250,22.2871,0.6889
100,100,0.1,5,1.5,95,0.3,250,16.9252,0.691
100,100,0.1,5,2.1,95,0.4,250,23.3904,0.711
100,100,0.1,5,3.0,95,0.55,250,33.2838,0.711
100,100,0.1,5,3.2,95,0.5,250,32.7503,0.711
100,100,0.1,25,3.1,95,0.2,250,18.59,0.609
100,100,0.1,25,4.6,95,0.3,250,22.6942,0.6889
100,100,0.1,25,1.4,95,0.35,250,12.102,0.6089
100,100,0.1,25,1.7,95,0.5,250,15.0707,0.6889
100,100,0.1,25,1.1,95,0.25,250,10.2049,0.5989
100,100,0.1,25,2.7,95,0.4,250,17.411,0.611
100,100,0.1,25,0.9,95,0.45,250,10.761,0.611
100,100,0.1,50,2.1,95,0.6,250,14.429,0.611
100,100,0.1,50,1.5,95,0.25,250,10.8662,0.5889
100,100,0.1,50,4.4,95,0.55,250,19.5078,0.611
100,100,0.1,50,2.7,95,0.45,250,14.9997,0.611
100,100,0.1,50,4.1,95,0.5,250,18.5038,0.611
100,100,0.1,50,2.8,95,0.3,250,14.7632,0.609
100,100,0.1,50,3.3,95,0.2,250,17.3687,0.5889
100,100,0.1,5,3.8,96,0.25,250,28.4974,0.711
100,100,0.1,5,2.1,96,0.2,250,18.2385,0.6989
100,100,0.1,5,2.6,96,0.3,250,23.2011,0.711
100,100,0.1,5,1.4,96,0.4,250,18.2274,0.711
100,100,0.1,5,3.2,96,0.35,250,27.8037,0.711
100,100,0.1,5,2.4,96,0.6,250,30.8726,0.711
100,100,0.1,5,1.5,96,0.45,250,20.1257,0.711
100,100,0.1,25,0.7,96,0.45,250,8.9752,0.611
100,100,0.1,25,3.5,96,0.6,250,21.8603,0.6889
100,100,0.1,25,5.0,96,0.4,250,22.9994,0.6889
100,100,0.1,25,2.4,96,0.3,250,14.7071,0.611
100,100,0.1,25,4.7,96,0.35,250,21.9168,0.6889
100,100,0.1,25,1.3,96,0.25,250,10.2079,0.601
100,100,0.1,25,2.9,96,0.2,250,16.6013,0.611
100,100,0.1,50,3.5,96,0.45,250,15.8963,0.611
100,100,0.1,50,3.0,96,0.4,250,14.4013,0.611
100,100,0.1,50,2.1,96,0.55,250,13.2236,0.611
100,100,0.1,50,0.4,96,0.35,250,5.8828,0.5889
100,100,0.1,50,1.2,96,0.3,250,8.9103,0.6
100,100,0.1,50,2.2,96,0.6,250,13.962,0.611
100,100,0.1,50,0.8,96,0.2,250,7.2456,0.5889
100,100,0.1,5,0.4,97,0.4,250,8.8541,0.6889
100,100,0.1,5,2.2,97,0.3,250,20.3945,0.711
100,100,0.1,5,1.5,97,0.25,250,14.9292,0.711
100,100,0.1,5,1.6,97,0.5,250,21.7975,0.711
100,100,0.1,5,4.8,97,0.45,250,37.8283,0.711
100,100,0.1,5,0.9,97,0.2,250,9.8541,0.6889
100,100,0.1,5,1.1,97,0.35,250,14.3565,0.711
100,100,0.1,25,0.9,97,0.35,250,8.3385,0.611
100,100,0.1,25,2.7,97,0.6,250,18.5333,0.6889
100,100,0.1,25,4.1,97,0.55,250,22.2736,0.7009
100,100,0.1,25,0.6,97,0.4,250,7.2608,0.611
100,100,0.1,25,3.6,97,0.5,250,19.8209,0.6889
100,100,0.1,25,4.5,97,0.2,250,20.8688,0.6889
100,100,0.1,25,1.1,97,0.25,250,8.5124,0.611
100,100,0.1,50,1.0,97,0.2,250,7.0555,0.5889
100,100,0.1,50,4.0,97,0.25,250,15.4894,0.611
100,100,0.1,50,3.5,97,0.5,250,15.3791,0.6889
100,100,0.1,50,0.5,97,0.3,250,5.367,0.591
100,100,0.1,50,0.7,97,0.35,250,6.3559,0.5989
100,100,0.1,50,2.7,97,0.6,250,14.4668,0.6889
100,100,0.1,50,1.6,97,0.45,250,9.9426,0.611
100,100,0.1,5,2.5,98,0.55,250,28.9618,0.7889
100,100,0.1,5,4.4,98,0.5,250,37.4212,0.7889
100,100,0.1,5,1.8,98,0.25,250,16.2974,0.711
100,100,0.1,5,0.7,98,0.3,250,9.7192,0.711
100,100,0.1,5,3.1,98,0.35,250,26.4584,0.7889
100,100,0.1,5,2.8,98,0.6,250,32.6332,0.7889
100,100,0.1,5,2.0,98,0.4,250,21.3918,0.711
100,100,0.1,25,2.3,98,0.55,250,15.7824,0.701
100,100,0.1,25,0.2,98,0.35,250,3.7448,0.611
100,100,0.1,25,2.5,98,0.45,250,14.7957,0.6889
100,100,0.1,25,3.4,98,0.6,250,20.3597,0.711
100,100,0.1,25,1.9,98,0.2,250,10.4245,0.6889
100,100,0.1,25,3.5,98,0.3,250,16.2488,0.689
100,100,0.1,25,3.7,98,0.4,250,17.8434,0.691
100,100,0.1,50,1.9,98,0.3,250,8.9083,0.6889
100,100,0.1,50,4.0,98,0.25,250,14.0098,0.6889
100,100,0.1,50,2.4,98,0.5,250,11.8911,0.6889
100,100,0.1,50,0.2,98,0.2,250,2.8066,0.5889
100,100,0.1,50,0.4,98,0.45,250,4.7523,0.611
100,100,0.1,50,4.9,98,0.4,250,16.5291,0.691
100,100,0.1,50,1.3,98,0.55,250,9.0599,0.6889
100,100,0.1,5,4.7,99,0.2,250,30.724,0.7889
100,100,0.1,5,4.2,99,0.55,250,38.2052,0.7889
100,100,0.1,5,2.8,99,0.4,250,25.7223,0.7889
100,100,0.1,5,4.6,99,0.3,250,31.8276,0.7889
100,100,0.1,5,3.0,99,0.6,250,33.2719,0.7889
100,100,0.1,5,2.0,99,0.25,250,17.0183,0.7889
100,100,0.1,5,0.6,99,0.35,250,9.3606,0.711
100,100,0.1,25,3.8,99,0.4,250,17.4066,0.711
100,100,0.1,25,2.9,99,0.5,250,16.2993,0.711
100,100,0.1,25,5.0,99,0.25,250,19.1954,0.711
100,100,0.1,25,2.6,99,0.3,250,12.4129,0.701
100,100,0.1,25,0.4,99,0.55,250,5.8416,0.691
100,100,0.1,25,3.1,99,0.6,250,18.5386,0.711
100,100,0.1,25,4.5,99,0.35,250,18.526,0.711
100,100,0.1,50,0.9,99,0.45,250,5.9817,0.6889
100,100,0.1,50,1.5,99,0.55,250,8.9103,0.691
100,100,0.1,50,3.2,99,0.5,250,13.0532,0.709
100,100,0.1,50,0.5,99,0.25,250,3.3603,0.611
100,100,0.1,50,3.8,99,0.35,250,12.6044,0.691
100,100,0.1,50,1.4,99,0.3,250,6.4444,0.6889
100,100,0.1,50,2.8,99,0.2,250,9.8194,0.6889
