S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,best_beta,error_percent,q
110,100,0.1,50,4.2,115,0.2,250,0.0334,0.0106,0.0367,-4.5455,0.531,9.8524,0
110,100,0.1,50,4.2,115,0.3,250,0.0206,0.0043,0.0236,-4.5455,0.521,14.802,0
110,100,0.1,50,4.2,115,0.4,250,0.0133,0.002,0.0163,-4.5455,0.5109,22.2362,0
110,100,0.1,50,4.2,115,0.5,250,0.0094,0.001,0.0122,-4.5455,0.501,29.4137,0
110,100,0.1,50,4.2,115,0.6,250,0.007,0.0006,0.0097,-4.5455,0.4909,38.5952,0
110,100,0.1,50,4.6,115,0.2,250,0.0286,0.0086,0.0313,-4.5455,0.531,9.5183,0
110,100,0.1,50,4.6,115,0.3,250,0.018,0.0036,0.0209,-4.5455,0.521,15.8434,0
110,100,0.1,50,4.6,115,0.4,250,0.0119,0.0016,0.0147,-4.5455,0.5099,23.0995,0
110,100,0.1,50,4.6,115,0.5,250,0.0085,0.0009,0.0111,-4.5455,0.5,30.581,0
110,100,0.1,50,4.6,115,0.6,250,0.0062,0.0005,0.0088,-4.5455,0.481,42.5983,0
110,100,0.1,50,5.0,115,0.2,250,0.0246,0.0071,0.027,-4.5455,0.531,9.7851,0
110,100,0.1,50,5.0,115,0.3,250,0.0159,0.003,0.0187,-4.5455,0.5189,17.4444,0
110,100,0.1,50,5.0,115,0.4,250,0.0109,0.0014,0.0134,-4.5455,0.511,23.3474,0
110,100,0.1,50,5.0,115,0.5,250,0.0077,0.0007,0.0102,-4.5455,0.4989,32.9947,0
110,100,0.1,50,5.0,115,0.6,250,0.0057,0.0004,0.0081,-4.5455,0.481,42.7455,0
110,100,0.1,50,0.2,116,0.2,250,2.3609,1.9153,2.38,-5.4545,0.559,0.8107,0
110,100,0.1,50,0.2,116,0.3,250,1.0606,0.7542,1.0769,-5.4545,0.5589,1.5373,0
110,100,0.1,50,0.2,116,0.4,250,0.5692,0.3559,0.5803,-5.4545,0.5589,1.9547,0
110,100,0.1,50,0.2,116,0.5,250,0.3458,0.1922,0.3554,-5.4545,0.551,2.7657,0
110,100,0.1,50,0.2,116,0.6,250,0.2292,0.1144,0.2386,-5.4545,0.5489,4.1116,0
110,100,0.1,50,0.6,116,0.2,250,0.7034,0.4659,0.7169,-5.4545,0.551,1.9254,0
110,100,0.1,50,0.6,116,0.3,250,0.2982,0.1618,0.3089,-5.4545,0.5489,3.6037,0
110,100,0.1,50,0.6,116,0.4,250,0.1606,0.0721,0.1683,-5.4545,0.5489,4.8215,0
110,100,0.1,50,0.6,116,0.5,250,0.0998,0.0377,0.1064,-5.4545,0.5409,6.6015,0
110,100,0.1,50,0.6,116,0.6,250,0.0681,0.022,0.0742,-5.4545,0.531,9.0274,0
110,100,0.1,50,1.0,116,0.2,250,0.3708,0.2159,0.3808,-5.4545,0.551,2.6934,0
110,100,0.1,50,1.0,116,0.3,250,0.1623,0.0742,0.1699,-5.4545,0.5489,4.6629,0
110,100,0.1,50,1.0,116,0.4,250,0.0889,0.0328,0.0957,-5.4545,0.5389,7.6421,0
110,100,0.1,50,1.0,116,0.5,250,0.0567,0.017,0.0624,-5.4545,0.531,10.0066,0
110,100,0.1,50,1.0,116,0.6,250,0.0397,0.0099,0.0447,-5.4545,0.5289,12.5238,0
110,100,0.1,50,1.4,116,0.2,250,0.2363,0.125,0.2451,-5.4545,0.5489,3.7418,0
110,100,0.1,50,1.4,116,0.3,250,0.1072,0.0434,0.1143,-5.4545,0.5389,6.6481,0
110,100,0.1,50,1.4,116,0.4,250,0.061,0.0192,0.0664,-5.4545,0.5389,8.8416,0
110,100,0.1,50,1.4,116,0.5,250,0.0395,0.0099,0.0443,-5.4545,0.5289,12.2939,0
110,100,0.1,50,1.4,116,0.6,250,0.0281,0.0057,0.0324,-5.4545,0.521,15.3822,0
110,100,0.1,50,1.8,116,0.2,250,0.1667,0.0812,0.1739,-5.4545,0.5489,4.3463,0
110,100,0.1,50,1.8,116,0.3,250,0.0786,0.0286,0.0847,-5.4545,0.5389,7.7355,0
110,100,0.1,50,1.8,116,0.4,250,0.0452,0.0127,0.0506,-5.4545,0.5289,12.0303,0
110,100,0.1,50,1.8,116,0.5,250,0.0301,0.0066,0.0345,-5.4545,0.521,14.7037,0
110,100,0.1,50,1.8,116,0.6,250,0.0217,0.0038,0.0255,-5.4545,0.52,17.2952,0
110,100,0.1,50,2.2,116,0.2,250,0.1236,0.0565,0.1307,-5.4545,0.5389,5.7383,0
110,100,0.1,50,2.2,116,0.3,250,0.0612,0.0203,0.0665,-5.4545,0.531,8.745,0
110,100,0.1,50,2.2,116,0.4,250,0.036,0.009,0.0407,-5.4545,0.5289,12.94,0
110,100,0.1,50,2.2,116,0.5,250,0.0242,0.0047,0.0282,-5.4545,0.52,16.542,0
110,100,0.1,50,2.2,116,0.6,250,0.0174,0.0027,0.0212,-5.4545,0.511,21.9599,0
110,100,0.1,50,2.6,116,0.2,250,0.0962,0.0413,0.1022,-5.4545,0.5389,6.2452,0
110,100,0.1,50,2.6,116,0.3,250,0.0492,0.0151,0.0542,-5.4545,0.53,10.1244,0
110,100,0.1,50,2.6,116,0.4,250,0.0293,0.0068,0.034,-5.4545,0.5189,15.844,0
110,100,0.1,50,2.6,116,0.5,250,0.02,0.0035,0.0239,-5.4545,0.511,19.4094,0
110,100,0.1,50,2.6,116,0.6,250,0.0145,0.002,0.0181,-5.4545,0.5089,24.9797,0
